instance,n,prob,num_type,value
12_0.2_15-19,15,0.2,orig_simpl_obj,334
12_0.2_15-20,15,0.2,orig_minAB_obj,150
12_0.2_15-20,15,0.2,orig_simpl_obj,147
12_0.2_15-21,15,0.2,orig_minAB_obj,360
12_0.2_15-21,15,0.2,orig_simpl_obj,336
12_0.2_15-22,15,0.2,orig_minAB_obj,236
12_0.2_15-22,15,0.2,orig_simpl_obj,254
12_0.2_15-23,15,0.2,orig_minAB_obj,412
12_0.2_15-23,15,0.2,orig_simpl_obj,388
12_0.2_15-24,15,0.2,orig_minAB_obj,412
12_0.2_15-24,15,0.2,orig_simpl_obj,358
12_0.2_15-25,15,0.2,orig_minAB_obj,323
12_0.2_15-25,15,0.2,orig_simpl_obj,417
12_0.2_15-26,15,0.2,orig_minAB_obj,195
12_0.2_15-26,15,0.2,orig_simpl_obj,306
12_0.2_15-27,15,0.2,orig_minAB_obj,250
12_0.2_15-27,15,0.2,orig_simpl_obj,253
12_0.2_15-28,15,0.2,orig_minAB_obj,120
12_0.2_15-28,15,0.2,orig_simpl_obj,153
12_0.2_15-29,15,0.2,orig_minAB_obj,176
12_0.2_15-29,15,0.2,orig_simpl_obj,164
12_0.2_15-30,15,0.2,orig_minAB_obj,102
12_0.2_15-30,15,0.2,orig_simpl_obj,84
12_0.2_15-31,15,0.2,orig_minAB_obj,173
12_0.2_15-31,15,0.2,orig_simpl_obj,185
12_0.2_15-32,15,0.2,orig_minAB_obj,114
12_0.2_15-32,15,0.2,orig_simpl_obj,78
12_0.2_15-33,15,0.2,orig_minAB_obj,265
12_0.2_15-33,15,0.2,orig_simpl_obj,423
12_0.2_15-34,15,0.2,orig_minAB_obj,180
12_0.2_15-34,15,0.2,orig_simpl_obj,228
12_0.2_15-35,15,0.2,orig_minAB_obj,376
12_0.2_15-35,15,0.2,orig_simpl_obj,453
12_0.2_15-36,15,0.2,orig_minAB_obj,222
12_0.2_15-36,15,0.2,orig_simpl_obj,192
12_0.2_15-37,15,0.2,orig_minAB_obj,143
12_0.2_15-37,15,0.2,orig_simpl_obj,230
12_0.2_15-38,15,0.2,orig_minAB_obj,253
12_0.2_15-38,15,0.2,orig_simpl_obj,256
12_0.2_15-39,15,0.2,orig_minAB_obj,100
12_0.2_15-39,15,0.2,orig_simpl_obj,88
12_0.2_15-40,15,0.2,orig_minAB_obj,125
12_0.2_15-40,15,0.2,orig_simpl_obj,124
12_0.2_15-41,15,0.2,orig_minAB_obj,128
12_0.2_15-41,15,0.2,orig_simpl_obj,118
12_0.2_15-42,15,0.2,orig_minAB_obj,233
12_0.2_15-42,15,0.2,orig_simpl_obj,265
12_0.2_15-43,15,0.2,orig_minAB_obj,223
12_0.2_15-43,15,0.2,orig_simpl_obj,251
12_0.2_15-44,15,0.2,orig_minAB_obj,169
12_0.2_15-44,15,0.2,orig_simpl_obj,137
12_0.2_15-45,15,0.2,orig_minAB_obj,152
12_0.2_15-45,15,0.2,orig_simpl_obj,147
12_0.2_15-46,15,0.2,orig_minAB_obj,116
12_0.2_15-46,15,0.2,orig_simpl_obj,76
12_0.2_15-47,15,0.2,orig_minAB_obj,377
