instance,n,prob,num_type,value
13-5,20,0.3,orig_minAB_obj,2838
13-5,20,0.3,orig_simpl_obj,2953
13-6,20,0.3,orig_minAB_obj,3482
13-6,20,0.3,orig_simpl_obj,3777
13-7,20,0.3,orig_minAB_obj,2555
13-7,20,0.3,orig_simpl_obj,2630
13-8,20,0.3,orig_minAB_obj,2805
13-8,20,0.3,orig_simpl_obj,2388
13-9,20,0.3,orig_minAB_obj,2739
13-9,20,0.3,orig_simpl_obj,2922
13-10,20,0.3,orig_minAB_obj,2782
13-10,20,0.3,orig_simpl_obj,4716
13-11,20,0.3,orig_minAB_obj,2992
13-11,20,0.3,orig_simpl_obj,3295
13-12,20,0.3,orig_minAB_obj,2553
13-12,20,0.3,orig_simpl_obj,2212
13-13,20,0.3,orig_minAB_obj,3515
13-13,20,0.3,orig_simpl_obj,3297
13-14,20,0.3,orig_minAB_obj,3255
13-14,20,0.3,orig_simpl_obj,4136
13-15,20,0.3,orig_minAB_obj,2297
13-15,20,0.3,orig_simpl_obj,2728
13-16,20,0.3,orig_minAB_obj,2172
13-16,20,0.3,orig_simpl_obj,3016
13-17,20,0.3,orig_minAB_obj,2858
13-17,20,0.3,orig_simpl_obj,2819
13-18,20,0.3,orig_minAB_obj,2138
13-18,20,0.3,orig_simpl_obj,2255
13-19,20,0.3,orig_minAB_obj,3061
13-19,20,0.3,orig_simpl_obj,3014
13-20,20,0.3,orig_minAB_obj,2679
13-20,20,0.3,orig_simpl_obj,2564
13-21,20,0.3,orig_minAB_obj,2508
13-21,20,0.3,orig_simpl_obj,2222
13-22,20,0.3,orig_minAB_obj,2137
13-22,20,0.3,orig_simpl_obj,2993
13-23,20,0.3,orig_minAB_obj,3440
13-23,20,0.3,orig_simpl_obj,3026
13-24,20,0.3,orig_minAB_obj,3988
13-24,20,0.3,orig_simpl_obj,4452
13-25,20,0.3,orig_minAB_obj,2311
13-25,20,0.3,orig_simpl_obj,2373
13-26,20,0.3,orig_minAB_obj,1967
13-26,20,0.3,orig_simpl_obj,1948
13-27,20,0.3,orig_minAB_obj,2497
13-27,20,0.3,orig_simpl_obj,2557
13-28,20,0.3,orig_minAB_obj,3259
13-28,20,0.3,orig_simpl_obj,3389
13-29,20,0.3,orig_minAB_obj,3075
13-29,20,0.3,orig_simpl_obj,2791
13-30,20,0.3,orig_minAB_obj,3352
13-30,20,0.3,orig_simpl_obj,3157
13-31,20,0.3,orig_minAB_obj,3012
13-31,20,0.3,orig_simpl_obj,3317
14-0,20,0.3,orig_minAB_obj,2075
14-0,20,0.3,orig_simpl_obj,2143
14-1,20,0.3,orig_minAB_obj,2547
14-1,20,0.3,orig_simpl_obj,3009
14-2,20,0.3,orig_minAB_obj,3021
14-2,20,0.3,orig_simpl_obj,3174
14-3,20,0.3,orig_minAB_obj,2655
14-3,20,0.3,orig_simpl_obj,3212
14-4,20,0.3,orig_minAB_obj,3243
14-4,20,0.3,orig_simpl_obj,2526
14-5,20,0.3,orig_minAB_obj,2243
14-5,20,0.3,orig_simpl_obj,2632
14-6,20,0.3,orig_minAB_obj,3477
14-6,20,0.3,orig_simpl_obj,3755
14-7,20,0.3,orig_minAB_obj,2512
14-7,20,0.3,orig_simpl_obj,2899
14-8,20,0.3,orig_minAB_obj,4030
14-8,20,0.3,orig_simpl_obj,3988
14-9,20,0.3,orig_minAB_obj,2337
14-9,20,0.3,orig_simpl_obj,2555
14-10,20,0.3,orig_minAB_obj,2480
14-10,20,0.3,orig_simpl_obj,2876
14-11,20,0.3,orig_minAB_obj,2443
14-11,20,0.3,orig_simpl_obj,2404
14-12,20,0.3,orig_minAB_obj,3181
14-12,20,0.3,orig_simpl_obj,2285
14-13,20,0.3,orig_minAB_obj,3288
14-13,20,0.3,orig_simpl_obj,2987
14-14,20,0.3,orig_minAB_obj,1630
14-14,20,0.3,orig_simpl_obj,2066
14-15,20,0.3,orig_minAB_obj,1768
14-15,20,0.3,orig_simpl_obj,2774
14-16,20,0.3,orig_minAB_obj,1488
14-16,20,0.3,orig_simpl_obj,1212
14-17,20,0.3,orig_minAB_obj,3208
14-17,20,0.3,orig_simpl_obj,2867
14-18,20,0.3,orig_minAB_obj,2979
14-18,20,0.3,orig_simpl_obj,3233
14-19,20,0.3,orig_minAB_obj,3427
14-19,20,0.3,orig_simpl_obj,3349
14-20,20,0.3,orig_minAB_obj,1810
14-20,20,0.3,orig_simpl_obj,1902
14-21,20,0.3,orig_minAB_obj,2964
14-21,20,0.3,orig_simpl_obj,3204
14-22,20,0.3,orig_minAB_obj,3327
14-22,20,0.3,orig_simpl_obj,3553
14-23,20,0.3,orig_minAB_obj,2646
14-23,20,0.3,orig_simpl_obj,3255
14-24,20,0.3,orig_minAB_obj,1854
14-24,20,0.3,orig_simpl_obj,1730
14-25,20,0.3,orig_minAB_obj,3176
14-25,20,0.3,orig_simpl_obj,2910
14-26,20,0.3,orig_minAB_obj,1639
14-26,20,0.3,orig_simpl_obj,1850
14-27,20,0.3,orig_minAB_obj,3306
14-27,20,0.3,orig_simpl_obj,3528
14-28,20,0.3,orig_minAB_obj,3331
14-28,20,0.3,orig_simpl_obj,3680
14-29,20,0.3,orig_minAB_obj,2359
14-29,20,0.3,orig_simpl_obj,3018
14-30,20,0.3,orig_minAB_obj,2064
14-30,20,0.3,orig_simpl_obj,2309
14-31,20,0.3,orig_minAB_obj,2909
14-31,20,0.3,orig_simpl_obj,2493
15-0,20,0.3,orig_minAB_obj,3095
15-0,20,0.3,orig_simpl_obj,4097
15-1,20,0.3,orig_minAB_obj,1275
15-1,20,0.3,orig_simpl_obj,1914
15-2,20,0.3,orig_minAB_obj,2555
15-2,20,0.3,orig_simpl_obj,2781
15-3,20,0.3,orig_minAB_obj,2849
15-3,20,0.3,orig_simpl_obj,3435
15-4,20,0.3,orig_minAB_obj,3433
15-4,20,0.3,orig_simpl_obj,4017
15-5,20,0.3,orig_minAB_obj,1836
15-5,20,0.3,orig_simpl_obj,2032
15-6,20,0.3,orig_minAB_obj,3001
15-6,20,0.3,orig_simpl_obj,3099
