instance,n,prob,num_type,value
11-22,20,0.3,orig_simpl_obj,2109
11-23,20,0.3,orig_minAB_obj,286
11-23,20,0.3,orig_simpl_obj,283
11-24,20,0.3,orig_minAB_obj,1141
11-24,20,0.3,orig_simpl_obj,1488
11-25,20,0.3,orig_minAB_obj,705
11-25,20,0.3,orig_simpl_obj,879
11-26,20,0.3,orig_minAB_obj,64
11-26,20,0.3,orig_simpl_obj,68
11-27,20,0.3,orig_minAB_obj,216
11-27,20,0.3,orig_simpl_obj,225
11-28,20,0.3,orig_minAB_obj,861
11-28,20,0.3,orig_simpl_obj,987
11-29,20,0.3,orig_minAB_obj,40
11-29,20,0.3,orig_simpl_obj,41
11-30,20,0.3,orig_minAB_obj,421
11-30,20,0.3,orig_simpl_obj,454
11-31,20,0.3,orig_minAB_obj,605
11-31,20,0.3,orig_simpl_obj,661
12-0,20,0.3,orig_minAB_obj,815
12-0,20,0.3,orig_simpl_obj,890
12-1,20,0.3,orig_minAB_obj,147
12-1,20,0.3,orig_simpl_obj,154
12-2,20,0.3,orig_minAB_obj,39
12-2,20,0.3,orig_simpl_obj,39
12-3,20,0.3,orig_minAB_obj,102
12-3,20,0.3,orig_simpl_obj,101
12-4,20,0.3,orig_minAB_obj,1318
12-4,20,0.3,orig_simpl_obj,1597
12-5,20,0.3,orig_minAB_obj,844
12-5,20,0.3,orig_simpl_obj,894
12-6,20,0.3,orig_minAB_obj,240
12-6,20,0.3,orig_simpl_obj,279
12-7,20,0.3,orig_minAB_obj,60
12-7,20,0.3,orig_simpl_obj,61
12-8,20,0.3,orig_minAB_obj,888
12-8,20,0.3,orig_simpl_obj,888
12-9,20,0.3,orig_minAB_obj,1385
12-9,20,0.3,orig_simpl_obj,1389
12-10,20,0.3,orig_minAB_obj,113
12-10,20,0.3,orig_simpl_obj,112
12-11,20,0.3,orig_minAB_obj,747
12-11,20,0.3,orig_simpl_obj,888
12-12,20,0.3,orig_minAB_obj,444
12-12,20,0.3,orig_simpl_obj,516
12-13,20,0.3,orig_minAB_obj,751
12-13,20,0.3,orig_simpl_obj,805
12-14,20,0.3,orig_minAB_obj,367
12-14,20,0.3,orig_simpl_obj,384
12-15,20,0.3,orig_minAB_obj,1399
12-15,20,0.3,orig_simpl_obj,1808
12-16,20,0.3,orig_minAB_obj,528
12-16,20,0.3,orig_simpl_obj,594
12-17,20,0.3,orig_minAB_obj,902
12-17,20,0.3,orig_simpl_obj,952
12-18,20,0.3,orig_minAB_obj,827
12-18,20,0.3,orig_simpl_obj,743
12-19,20,0.3,orig_minAB_obj,324
12-19,20,0.3,orig_simpl_obj,407
12-20,20,0.3,orig_minAB_obj,269
12-20,20,0.3,orig_simpl_obj,267
12-21,20,0.3,orig_minAB_obj,471
12-21,20,0.3,orig_simpl_obj,459
12-22,20,0.3,orig_minAB_obj,1045
12-22,20,0.3,orig_simpl_obj,1594
12-23,20,0.3,orig_minAB_obj,126
12-23,20,0.3,orig_simpl_obj,147
12-24,20,0.3,orig_minAB_obj,39
12-24,20,0.3,orig_simpl_obj,39
12-25,20,0.3,orig_minAB_obj,506
12-25,20,0.3,orig_simpl_obj,588
12-26,20,0.3,orig_minAB_obj,1066
12-26,20,0.3,orig_simpl_obj,1389
12-27,20,0.3,orig_minAB_obj,985
12-27,20,0.3,orig_simpl_obj,2338
12-28,20,0.3,orig_minAB_obj,979
12-28,20,0.3,orig_simpl_obj,1328
12-29,20,0.3,orig_minAB_obj,1394
12-29,20,0.3,orig_simpl_obj,1487
12-30,20,0.3,orig_minAB_obj,1054
12-30,20,0.3,orig_simpl_obj,1001
12-31,20,0.3,orig_minAB_obj,80
12-31,20,0.3,orig_simpl_obj,91
13-0,20,0.3,orig_minAB_obj,775
13-0,20,0.3,orig_simpl_obj,1078
13-1,20,0.3,orig_minAB_obj,917
13-1,20,0.3,orig_simpl_obj,1596
13-2,20,0.3,orig_minAB_obj,721
13-2,20,0.3,orig_simpl_obj,840
13-3,20,0.3,orig_minAB_obj,2479
13-3,20,0.3,orig_simpl_obj,3096
13-4,20,0.3,orig_minAB_obj,1159
13-4,20,0.3,orig_simpl_obj,1184
13-5,20,0.3,orig_minAB_obj,985
13-5,20,0.3,orig_simpl_obj,820
13-6,20,0.3,orig_minAB_obj,313
13-6,20,0.3,orig_simpl_obj,432
13-7,20,0.3,orig_minAB_obj,207
13-7,20,0.3,orig_simpl_obj,196
13-8,20,0.3,orig_minAB_obj,1487
13-8,20,0.3,orig_simpl_obj,1957
13-9,20,0.3,orig_minAB_obj,1161
13-9,20,0.3,orig_simpl_obj,1471
13-10,20,0.3,orig_minAB_obj,1711
13-10,20,0.3,orig_simpl_obj,1721
13-11,20,0.3,orig_minAB_obj,633
13-11,20,0.3,orig_simpl_obj,634
13-12,20,0.3,orig_minAB_obj,92
13-12,20,0.3,orig_simpl_obj,100
13-13,20,0.3,orig_minAB_obj,1113
13-13,20,0.3,orig_simpl_obj,1208
13-14,20,0.3,orig_minAB_obj,40
13-14,20,0.3,orig_simpl_obj,41
13-15,20,0.3,orig_minAB_obj,938
13-15,20,0.3,orig_simpl_obj,1119
13-16,20,0.3,orig_minAB_obj,811
13-16,20,0.3,orig_simpl_obj,977
13-17,20,0.3,orig_minAB_obj,2238
13-17,20,0.3,orig_simpl_obj,2220
13-18,20,0.3,orig_minAB_obj,188
13-18,20,0.3,orig_simpl_obj,190
13-19,20,0.3,orig_minAB_obj,621
13-19,20,0.3,orig_simpl_obj,695
13-20,20,0.3,orig_minAB_obj,718
13-20,20,0.3,orig_simpl_obj,794
13-21,20,0.3,orig_minAB_obj,1551
13-21,20,0.3,orig_simpl_obj,1732
13-22,20,0.3,orig_minAB_obj,433
13-22,20,0.3,orig_simpl_obj,491
13-23,20,0.3,orig_minAB_obj,1606
13-23,20,0.3,orig_simpl_obj,2075
13-24,20,0.3,orig_minAB_obj,1159
13-24,20,0.3,orig_simpl_obj,1215
13-25,20,0.3,orig_minAB_obj,1189
13-25,20,0.3,orig_simpl_obj,1387
13-26,20,0.3,orig_minAB_obj,112
13-26,20,0.3,orig_simpl_obj,177
13-27,20,0.3,orig_minAB_obj,339
13-27,20,0.3,orig_simpl_obj,411
13-28,20,0.3,orig_minAB_obj,67
13-28,20,0.3,orig_simpl_obj,68
13-29,20,0.3,orig_minAB_obj,905
13-29,20,0.3,orig_simpl_obj,1053
13-30,20,0.3,orig_minAB_obj,278
13-30,20,0.3,orig_simpl_obj,304
13-31,20,0.3,orig_minAB_obj,1695
13-31,20,0.3,orig_simpl_obj,1480
14-0,20,0.3,orig_minAB_obj,1644
14-0,20,0.3,orig_simpl_obj,1604
14-1,20,0.3,orig_minAB_obj,1559
14-1,20,0.3,orig_simpl_obj,1856
14-2,20,0.3,orig_minAB_obj,130
14-2,20,0.3,orig_simpl_obj,203
14-3,20,0.3,orig_minAB_obj,1592
14-3,20,0.3,orig_simpl_obj,2027
14-4,20,0.3,orig_minAB_obj,360
14-4,20,0.3,orig_simpl_obj,418
14-5,20,0.3,orig_minAB_obj,1124
14-5,20,0.3,orig_simpl_obj,1240
14-6,20,0.3,orig_minAB_obj,677
