test,16,22,CPP,BDD-build,324.7
test,16,22,CPP,MIP-build,64.7
test,16,22,CPP,MIP-solve,18.1
test,16,22,CPP,VS-build+solve,107.2
test,16,22,CPP,BDD-align-to-vs,215.2
test,16,22,CPP,intersection-build,24.4
test,16,22,CPP,intersection-SP-solve,5.7
test,16,22,CPP,BDD-align-gsifts,9765.2
test,16,22,CPP,intersection-gsifts-build,17.4
test,16,22,CPP,intersection-gsifts-SP-solve,4.0
test,17,22,gen_instance,all, 17.4
test,17,22,plain_MIP,build+solve,5.1
test,17,22,CPP,BDD-build,467.6
test,17,22,CPP,MIP-build,216.9
test,17,22,CPP,MIP-solve,33.0
test,17,22,CPP,VS-build+solve,132.7
test,17,22,CPP,BDD-align-to-vs,570.9
test,17,22,CPP,intersection-build,116.0
test,17,22,CPP,intersection-SP-solve,28.3
test,17,22,CPP,BDD-align-gsifts,11794.2
test,17,22,CPP,intersection-gsifts-build,20.2
test,17,22,CPP,intersection-gsifts-SP-solve,5.3
test,18,22,gen_instance,all, 16.3
test,18,22,plain_MIP,build+solve,3.7
test,18,22,CPP,BDD-build,307.4
test,18,22,CPP,MIP-build,50.6
test,18,22,CPP,MIP-solve,23.4
test,18,22,CPP,VS-build+solve,39.3
test,18,22,CPP,BDD-align-to-vs,131.5
test,18,22,CPP,intersection-build,19.1
test,18,22,CPP,intersection-SP-solve,4.0
test,18,22,CPP,BDD-align-gsifts,9136.6
test,18,22,CPP,intersection-gsifts-build,14.7
test,18,22,CPP,intersection-gsifts-SP-solve,2.9
test,19,22,gen_instance,all, 18.8
test,19,22,plain_MIP,build+solve,7.0
test,19,22,CPP,BDD-build,525.8
test,19,22,CPP,MIP-build,87.0
test,19,22,CPP,MIP-solve,45.0
test,19,22,CPP,VS-build+solve,27.6
test,19,22,CPP,BDD-align-to-vs,383.6
test,19,22,CPP,intersection-build,93.2
test,19,22,CPP,intersection-SP-solve,4.3
test,19,22,CPP,BDD-align-gsifts,18508.5
test,19,22,CPP,intersection-gsifts-build,22.6
test,19,22,CPP,intersection-gsifts-SP-solve,2.9
test,20,22,gen_instance,all, 16.2
test,20,22,plain_MIP,build+solve,3.8
test,20,22,CPP,BDD-build,430.4
test,20,22,CPP,MIP-build,70.8
test,20,22,CPP,MIP-solve,29.9
test,20,22,CPP,VS-build+solve,42.0
test,20,22,CPP,BDD-align-to-vs,177.1
test,20,22,CPP,intersection-build,97.9
test,20,22,CPP,intersection-SP-solve,8.3
test,20,22,CPP,BDD-align-gsifts,14012.8
test,20,22,CPP,intersection-gsifts-build,16.8
test,20,22,CPP,intersection-gsifts-SP-solve,4.2
