instance,inversions,reducedA,reducedB,gen_trial
306,55,True,True,1
307,42,True,True,1
308,48,True,True,1
309,53,True,True,1
310,64,True,True,1
311,88,True,True,1
312,51,True,True,1
313,61,True,True,1
314,72,True,True,1
315,51,True,True,1
316,39,True,True,1
317,31,True,True,1
318,46,True,True,1
319,58,True,True,1
320,52,True,True,1
321,56,True,True,1
322,57,True,True,1
323,49,True,True,1
324,57,True,True,1
325,68,True,True,1
326,54,True,True,1
327,60,True,True,1
328,50,True,True,1
329,43,True,True,1
330,46,True,True,1
331,49,True,True,1
332,60,True,True,1
333,52,True,True,1
334,62,True,True,1
335,66,True,True,1
336,39,True,True,1
337,56,True,True,1
338,68,True,True,1
339,41,True,True,1
340,55,True,True,1
341,50,True,True,1
342,63,True,True,1
343,53,True,True,1
344,36,True,True,1
345,55,True,True,1
346,51,True,True,1
347,56,True,True,1
348,42,True,True,1
349,53,True,True,1
350,52,True,True,1
351,67,True,True,1
352,51,True,True,1
353,36,True,True,1
354,54,True,True,1
355,56,True,True,1
356,45,True,True,1
357,50,True,True,1
358,50,True,True,1
359,49,True,True,1
360,55,True,True,1
361,37,True,True,1
362,44,True,True,1
363,50,True,True,1
364,73,True,True,1
365,49,True,True,1
366,65,True,True,1
367,43,True,True,1
368,55,True,True,1
369,34,True,True,1
370,38,True,True,1
371,51,True,True,1
372,70,True,True,1
373,47,True,True,1
374,51,True,True,1
375,41,True,True,1
376,40,True,True,1
377,42,True,True,1
378,48,True,True,1
379,66,True,True,1
380,64,True,True,1
381,47,True,True,1
382,53,True,True,1
383,65,True,True,1
384,33,True,True,1
385,56,True,True,1
386,59,True,True,1
387,57,True,True,1
388,54,True,True,1
389,66,True,True,1
390,58,True,True,1
391,54,True,True,1
392,45,True,True,1
393,51,True,True,1
394,63,True,True,1
395,61,True,True,1
396,49,True,True,1
397,46,True,True,1
398,54,True,True,1
399,63,True,True,1
400,49,True,True,1
401,62,True,True,1
402,40,True,True,1
403,33,True,True,1
404,39,True,True,1
405,59,True,True,1
406,65,True,True,1
407,53,True,True,1
408,59,True,True,1
409,49,True,True,1
410,45,True,True,1
411,61,True,True,1
412,45,True,True,1
413,36,True,True,1
414,47,True,True,1
415,52,True,True,1
416,73,True,True,1
417,41,True,True,1
418,69,True,True,1
419,72,True,True,1
420,58,True,True,1
421,53,True,True,1
422,47,True,True,1
423,37,True,True,1
424,41,True,True,1
425,67,True,True,1
426,46,True,True,1
427,58,True,True,1
428,40,True,True,1
429,66,True,True,1
430,49,True,True,1
431,43,True,True,1
432,55,True,True,1
433,39,True,True,1
434,68,True,True,1
435,51,True,True,1
436,62,True,True,1
437,54,True,True,1
438,61,True,True,1
439,51,True,True,1
440,63,True,True,1
441,63,True,True,1
442,62,True,True,1
443,66,True,True,1
444,45,True,True,1
445,44,True,True,1
446,66,True,True,1
447,52,True,True,1
448,68,True,True,1
449,44,True,True,1
450,53,True,True,1
451,49,True,True,1
452,54,True,True,1
453,63,True,True,1
454,63,True,True,1
455,42,True,True,1
456,59,True,True,1
457,54,True,True,1
458,51,True,True,1
459,69,True,True,1
460,51,True,True,1
461,54,True,True,1
462,56,True,True,1
463,71,True,True,1
464,56,True,True,1
465,71,True,True,1
466,46,True,True,1
467,60,True,True,1
468,82,True,True,1
469,42,True,True,1
470,44,True,True,1
471,52,True,True,1
472,65,True,True,1
473,52,True,True,1
474,54,True,True,1
475,57,True,True,1
476,56,True,True,1
477,55,True,True,1
478,42,True,True,1
479,72,True,True,1
480,29,True,True,1
481,54,True,True,1
482,55,True,True,1
483,67,True,True,1
484,39,True,True,1
485,47,True,True,1
486,50,True,True,1
487,46,True,True,1
488,49,True,True,1
489,46,True,True,1
490,65,True,True,1
491,66,True,True,1
492,59,True,True,1
493,46,True,True,1
494,64,True,True,1
495,57,True,True,1
496,65,True,True,1
497,33,True,True,1
498,37,True,True,1
499,46,True,True,1
500,47,True,True,1
501,48,True,True,1
502,66,True,True,1
503,69,True,True,1
504,46,True,True,1
505,35,True,True,1
506,46,True,True,1
507,39,True,True,1
508,36,True,True,1
509,42,True,True,1
510,38,True,True,1
511,69,True,True,1
512,51,True,True,1
513,41,True,True,1
514,66,True,True,1
515,61,True,True,1
516,69,True,True,1
517,41,True,True,1
518,60,True,True,1
519,59,True,True,1
520,61,True,True,1
521,60,True,True,1
522,39,True,True,1
