instance,inversions,reducedA,reducedB,gen_trial
122,44,True,True,1
123,63,True,True,1
124,42,True,True,1
125,49,True,True,1
126,51,True,True,1
127,55,True,True,1
128,51,True,True,1
129,44,True,True,1
130,54,True,True,1
131,62,True,True,1
132,55,True,True,1
133,43,True,True,1
134,42,True,True,1
135,36,True,True,1
136,69,True,True,1
137,52,True,True,1
138,55,True,True,1
139,59,True,True,1
140,38,True,True,1
141,37,True,True,1
142,53,True,True,1
143,46,True,True,1
144,48,True,True,1
145,51,True,True,1
146,56,True,True,1
147,55,True,True,1
148,59,True,True,1
149,45,True,True,1
150,53,True,True,1
151,48,True,True,1
152,57,True,True,1
153,59,True,True,1
154,52,True,True,1
155,63,True,True,1
156,52,True,True,1
157,62,True,True,1
158,40,True,True,1
159,68,True,True,1
160,61,True,True,1
161,56,True,True,1
162,44,True,True,1
163,62,True,True,1
164,52,True,True,1
165,37,True,True,1
166,51,True,True,1
167,74,True,True,1
168,58,True,True,1
169,49,True,True,1
170,51,True,True,1
171,33,True,True,1
172,73,True,True,1
173,54,True,True,1
174,57,True,True,1
175,39,True,True,1
176,52,True,True,1
177,49,True,True,1
178,58,True,True,1
179,44,True,True,1
180,55,True,True,1
181,58,True,True,1
182,51,True,True,1
183,66,True,True,1
184,49,True,True,1
185,54,True,True,1
186,58,True,True,1
187,54,True,True,1
188,57,True,True,1
189,56,True,True,1
190,50,True,True,1
191,68,True,True,1
192,50,True,True,1
193,44,True,True,1
194,53,True,True,1
195,66,True,True,1
196,44,True,True,1
197,55,True,True,1
198,59,True,True,1
199,63,True,True,1
200,51,True,True,1
201,53,True,True,1
202,35,True,True,1
203,59,True,True,1
204,49,True,True,1
205,62,True,True,1
206,63,True,True,1
207,55,True,True,1
208,53,True,True,1
209,59,True,True,1
210,59,True,True,1
211,40,True,True,1
212,36,True,True,1
213,47,True,True,1
214,46,True,True,1
215,56,True,True,1
216,42,True,True,1
217,48,True,True,1
218,51,True,True,1
219,51,True,True,1
220,58,True,True,1
221,47,True,True,1
222,46,True,True,1
223,52,True,True,1
224,54,True,True,1
225,45,True,True,1
226,58,True,True,1
227,49,True,True,1
228,60,True,True,1
229,58,True,True,1
230,62,True,True,1
231,75,True,True,1
232,46,True,True,1
233,23,True,True,1
234,76,True,True,1
235,70,True,True,1
236,48,True,True,1
237,54,True,True,1
238,46,True,True,1
239,41,True,True,1
240,55,True,True,1
241,50,True,True,1
242,59,True,True,1
243,47,True,True,1
244,54,True,True,1
245,51,True,True,1
246,46,True,True,1
247,60,True,True,1
248,58,True,True,1
249,45,True,True,1
250,35,True,True,1
251,57,True,True,1
252,45,True,True,1
253,64,True,True,1
254,56,True,True,1
255,51,True,True,1
256,48,True,True,1
257,51,True,True,1
258,47,True,True,1
259,63,True,True,1
260,60,True,True,1
261,53,True,True,1
262,38,True,True,1
263,60,True,True,1
264,43,True,True,1
265,55,True,True,1
266,46,True,True,1
267,50,True,True,1
268,45,True,True,1
269,66,True,True,1
270,53,True,True,1
271,56,True,True,1
272,64,True,True,1
273,55,True,True,1
274,54,True,True,1
275,41,True,True,1
276,50,True,True,1
277,36,True,True,1
278,52,True,True,1
279,53,True,True,1
280,51,True,True,1
281,40,True,True,1
282,55,True,True,1
283,32,True,True,1
284,52,True,True,1
285,69,True,True,1
286,69,True,True,1
287,59,True,True,1
288,73,True,True,1
289,46,True,True,1
290,60,True,True,1
291,61,True,True,1
292,59,True,True,1
293,54,True,True,1
294,46,True,True,1
295,47,True,True,1
296,68,True,True,1
297,42,True,True,1
298,46,True,True,1
299,66,True,True,1
300,64,True,True,1
301,53,True,True,1
302,57,True,True,1
303,60,True,True,1
304,60,True,True,1
305,61,True,True,1
306,75,True,True,1
307,59,True,True,1
308,57,True,True,1
309,59,True,True,1
310,72,True,True,1
311,51,True,True,1
312,36,True,True,1
313,52,True,True,1
314,59,True,True,1
315,31,True,True,1
316,54,True,True,1
317,34,True,True,1
318,59,True,True,1
319,62,True,True,1
320,58,True,True,1
321,65,True,True,1
322,62,True,True,1
323,50,True,True,1
324,51,True,True,1
325,70,True,True,1
326,44,True,True,1
327,48,True,True,1
328,54,True,True,1
329,48,True,True,1
330,31,True,True,1
331,53,True,True,1
332,35,True,True,1
333,53,True,True,1
334,32,True,True,1
335,56,True,True,1
336,59,True,True,1
337,44,True,True,1
338,32,True,True,1
339,37,True,True,1
340,39,True,True,1
341,51,True,True,1
342,82,True,True,1
343,77,True,True,1
344,44,True,True,1
345,50,True,True,1
346,47,True,True,1
347,49,True,True,1
348,49,True,True,1
349,58,True,True,1
350,50,True,True,1
351,50,True,True,1
352,54,True,True,1
353,59,True,True,1
354,49,True,True,1
355,54,True,True,1
356,47,True,True,1
357,59,True,True,1
358,49,True,True,1
359,63,True,True,1
360,64,True,True,1
361,47,True,True,1
362,58,True,True,1
363,50,True,True,1
364,38,True,True,1
365,65,True,True,1
366,48,True,True,1
367,58,True,True,1
368,44,True,True,1
369,60,True,True,1
370,41,True,True,1
371,44,True,True,1
372,52,True,True,1
373,62,True,True,1
374,59,True,True,1
375,64,True,True,1
376,56,True,True,1
377,45,True,True,1
378,40,True,True,1
379,68,True,True,1
380,39,True,True,1
381,60,True,True,1
382,46,True,True,1
383,53,True,True,1
384,72,True,True,1
385,52,True,True,1
386,51,True,True,1
387,52,True,True,1
388,59,True,True,1
389,44,True,True,1
390,40,True,True,1
391,53,True,True,1
392,60,True,True,1
393,42,True,True,1
394,49,True,True,1
395,42,True,True,1
396,49,True,True,1
397,49,True,True,1
398,57,True,True,1
399,64,True,True,1
400,58,True,True,1
401,49,True,True,1
402,49,True,True,1
403,66,True,True,1
404,47,True,True,1
405,57,True,True,1
406,51,True,True,1
407,60,True,True,1
408,49,True,True,1
409,53,True,True,1
410,55,True,True,1
411,62,True,True,1
412,49,True,True,1
413,47,True,True,1
414,57,True,True,1
415,42,True,True,1
416,58,True,True,1
417,66,True,True,1
418,58,True,True,1
419,53,True,True,1
420,62,True,True,1
421,29,True,True,1
422,65,True,True,1
423,67,True,True,1
424,50,True,True,1
425,82,True,True,1
426,42,True,True,1
427,38,True,True,1
428,45,True,True,1
429,39,True,True,1
430,51,True,True,1
431,59,True,True,1
432,57,True,True,1
433,44,True,True,1
434,62,True,True,1
435,27,True,True,1
436,75,True,True,1
437,48,True,True,1
438,42,True,True,1
439,43,True,True,1
440,60,True,True,1
441,40,True,True,1
442,43,True,True,1
443,54,True,True,1
444,62,True,True,1
445,17,True,True,1
446,54,True,True,1
447,67,True,True,1
448,59,True,True,1
449,47,True,True,1
450,59,True,True,1
451,47,True,True,1
452,47,True,True,1
453,40,True,True,1
454,52,True,True,1
455,62,True,True,1
456,52,True,True,1
457,60,True,True,1
458,60,True,True,1
459,47,True,True,1
460,52,True,True,1
461,53,True,True,1
462,54,True,True,1
463,55,True,True,1
464,54,True,True,1
465,60,True,True,1
466,61,True,True,1
467,57,True,True,1
468,56,True,True,1
469,47,True,True,1
470,45,True,True,1
471,59,True,True,1
472,58,True,True,1
473,56,True,True,1
474,60,True,True,1
475,57,True,True,1
476,48,True,True,1
477,36,True,True,1
478,52,True,True,1
479,57,True,True,1
480,60,True,True,1
481,52,True,True,1
482,41,True,True,1
483,62,True,True,1
484,51,True,True,1
485,54,True,True,1
486,48,True,True,1
487,61,True,True,1
488,47,True,True,1
489,55,True,True,1
490,57,True,True,1
491,42,True,True,1
492,37,True,True,1
493,42,True,True,1
494,44,True,True,1
495,50,True,True,1
496,37,True,True,1
497,49,True,True,1
498,55,True,True,1
499,37,True,True,1
500,41,True,True,1
501,53,True,True,1
502,61,True,True,1
503,47,True,True,1
504,49,True,True,1
505,70,True,True,1
506,47,True,True,1
507,55,True,True,1
508,52,True,True,1
509,64,True,True,1
510,44,True,True,1
511,55,True,True,1
512,54,True,True,1
513,37,True,True,1
514,48,True,True,1
515,50,True,True,1
516,48,True,True,1
517,56,True,True,1
518,53,True,True,1
519,51,True,True,1
520,39,True,True,1
521,56,True,True,1
522,55,True,True,1
523,60,True,True,1
524,29,True,True,1
525,37,True,True,1
526,56,True,True,1
527,67,True,True,1
528,46,True,True,1
529,62,True,True,1
530,59,True,True,1
531,61,True,True,1
532,32,True,True,1
533,60,True,True,1
534,54,True,True,1
535,52,True,True,1
536,49,True,True,1
537,40,True,True,1
538,61,True,True,1
539,54,True,True,1
540,67,True,True,1
541,50,True,True,1
542,48,True,True,1
543,54,True,True,1
544,56,True,True,1
545,54,True,True,1
546,60,True,True,1
547,28,True,True,1
548,50,True,True,1
549,76,True,True,1
550,52,True,True,1
551,41,True,True,1
552,61,True,True,1
553,53,True,True,1
554,51,True,True,1
555,62,True,True,1
556,60,True,True,1
557,58,True,True,1
558,50,True,True,1
559,53,True,True,1
560,60,True,True,1
561,43,True,True,1
562,55,True,True,1
563,55,True,True,1
564,54,True,True,1
565,47,True,True,1
566,50,True,True,1
567,78,True,True,1
568,67,True,True,1
569,59,True,True,1
570,53,True,True,1
571,43,True,True,1
572,63,True,True,1
573,66,True,True,1
574,67,True,True,1
575,34,True,True,1
576,42,True,True,1
577,56,True,True,1
578,54,True,True,1
579,54,True,True,1
580,47,True,True,1
581,50,True,True,1
582,39,True,True,1
583,60,True,True,1
584,49,True,True,1
585,58,True,True,1
586,46,True,True,1
587,74,True,True,1
588,73,True,True,1
589,51,True,True,1
590,44,True,True,1
591,60,True,True,1
592,54,True,True,1
593,64,True,True,1
594,38,True,True,1
595,58,True,True,1
596,48,True,True,1
597,37,True,True,1
598,57,True,True,1
599,60,True,True,1
600,65,True,True,1
601,51,True,True,1
602,56,True,True,1
603,49,True,True,1
604,43,True,True,1
605,31,True,True,1
606,65,True,True,1
607,53,True,True,1
608,44,True,True,1
609,60,True,True,1
610,60,True,True,1
611,60,True,True,1
612,57,True,True,1
613,64,True,True,1
614,53,True,True,1
615,43,True,True,1
616,59,True,True,1
617,62,True,True,1
618,64,True,True,1
619,43,True,True,1
620,54,True,True,1
621,58,True,True,1
622,42,True,True,1
623,64,True,True,1
624,27,True,True,1
625,75,True,True,1
626,63,True,True,1
627,56,True,True,1
628,50,True,True,1
629,59,True,True,1
630,46,True,True,1
631,50,True,True,1
632,34,True,True,1
633,44,True,True,1
634,42,True,True,1
635,44,True,True,1
636,49,True,True,1
637,60,True,True,1
638,41,True,True,1
639,45,True,True,1
640,52,True,True,1
641,59,True,True,1
642,36,True,True,1
643,46,True,True,1
644,43,True,True,1
645,67,True,True,1
646,53,True,True,1
647,46,True,True,1
648,53,True,True,1
649,51,True,True,1
650,54,True,True,1
651,52,True,True,1
652,67,True,True,1
653,50,True,True,1
654,63,True,True,1
655,63,True,True,1
656,59,True,True,1
657,46,True,True,1
658,48,True,True,1
659,69,True,True,1
660,49,True,True,1
661,43,True,True,1
662,62,True,True,1
663,54,True,True,1
664,58,True,True,1
665,45,True,True,1
666,43,True,True,1
667,72,True,True,1
668,39,True,True,1
669,51,True,True,1
670,58,True,True,1
671,50,True,True,1
672,58,True,True,1
673,55,True,True,1
674,33,True,True,1
675,55,True,True,1
676,58,True,True,1
677,53,True,True,1
678,45,True,True,1
679,42,True,True,1
680,37,True,True,1
681,55,True,True,1
682,65,True,True,1
683,45,True,True,1
684,63,True,True,1
685,56,True,True,1
686,33,True,True,1
687,59,True,True,1
688,40,True,True,1
689,51,True,True,1
690,66,True,True,1
691,54,True,True,1
692,56,True,True,1
693,26,True,True,1
694,51,True,True,1
695,80,True,True,1
696,50,True,True,1
697,59,True,True,1
698,74,True,True,1
699,33,True,True,1
700,59,True,True,1
701,34,True,True,1
702,29,True,True,1
703,61,True,True,1
704,50,True,True,1
705,49,True,True,1
706,44,True,True,1
707,36,True,True,1
708,49,True,True,1
709,75,True,True,1
710,42,True,True,1
711,46,True,True,1
712,49,True,True,1
713,68,True,True,1
714,64,True,True,1
715,41,True,True,1
716,59,True,True,1
717,74,True,True,1
718,53,True,True,1
719,48,True,True,1
720,58,True,True,1
721,51,True,True,1
722,33,True,True,1
723,52,True,True,1
724,52,True,True,1
725,44,True,True,1
726,27,True,True,1
727,69,True,True,1
728,61,True,True,1
729,58,True,True,1
730,61,True,True,1
731,61,True,True,1
732,40,True,True,1
733,31,True,True,1
734,37,True,True,1
735,67,True,True,1
736,65,True,True,1
737,41,True,True,1
738,34,True,True,1
739,57,True,True,1
740,62,True,True,1
741,39,True,True,1
742,57,True,True,1
743,40,True,True,1
744,42,True,True,1
745,40,True,True,1
746,61,True,True,1
747,40,True,True,1
748,68,True,True,1
749,69,True,True,1
750,43,True,True,1
751,26,True,True,1
752,57,True,True,1
753,53,True,True,1
754,78,True,True,1
755,54,True,True,1
756,47,True,True,1
757,71,True,True,1
758,41,True,True,1
759,58,True,True,1
760,35,True,True,1
761,40,True,True,1
762,63,True,True,1
763,50,True,True,1
764,66,True,True,1
765,56,True,True,1
766,67,True,True,1
767,65,True,True,1
768,48,True,True,1
769,52,True,True,1
770,43,True,True,1
771,50,True,True,1
772,65,True,True,1
773,42,True,True,1
774,54,True,True,1
775,48,True,True,1
776,51,True,True,1
777,56,True,True,1
778,50,True,True,1
779,50,True,True,1
780,43,True,True,1
781,60,True,True,1
782,64,True,True,1
783,32,True,True,1
784,53,True,True,1
785,53,True,True,1
786,45,True,True,1
787,51,True,True,1
788,50,True,True,1
