exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, tUMIP, tUDD, tTMIP, tTDD
189, 7, 10, 0.45, 3, 3, 1, -78.57, -75.82, 3.28, 2.49, 2.61, 2.55
190, 7, 10, 0.45, 3, 3, 1, -93.46, -86.96, 1.26, 1.87, 2.01, 1.92
191, 7, 10, 0.45, 3, 3, 2, -80.18, -77.06, 3.38, 2.33, 2.15, 2.48
192, 7, 10, 0.45, 3, 3, 1, -56.17, -54.66, 5.86, 3.15, 10.62, 3.16
193, 7, 10, 0.45, 3, 3, 2, -58.24, -54.72, 5.64, 1.92, 7.52, 1.92
194, 7, 10, 0.45, 3, 3, 3, -111.25, -110.03, 5.49, 2.35, 10.57, 2.37
195, 7, 10, 0.45, 3, 3, 3, -73.85, -64.49, 10.42, 2.36, 9.54, 2.24
196, 7, 10, 0.45, 3, 3, 2, -85.75, -84.44, 5.75, 2.36, 2.02, 2.36
197, 7, 10, 0.45, 3, 3, 1, -59.53, -54.01, 3.90, 2.47, 3.27, 2.51
198, 7, 10, 0.45, 3, 3, 1, -46.61, -39.58, 3.20, 2.64, 6.92, 2.54
199, 7, 10, 0.45, 3, 3, 1, -80.43, -77.37, 4.88, 2.29, 5.70, 2.28
200, 7, 10, 0.45, 3, 3, 1, -69.43, -68.33, 13.82, 2.72, 10.17, 2.82
201, 7, 10, 0.45, 3, 3, 1, -81.73, -75.78, 23.53, 2.55, 17.67, 2.59
202, 7, 10, 0.45, 3, 3, 1, -89.65, -86.02, 13.16, 3.08, 16.82, 2.91
203, 7, 10, 0.45, 3, 3, 8, -68.41, -55.58, 4.08, 2.85, 6.25, 2.81
204, 7, 10, 0.45, 3, 3, 1, -63.51, -61.31, 9.62, 2.95, 14.36, 3.09
205, 7, 10, 0.45, 3, 3, 4, -83.12, -82.01, 5.31, 2.40, 7.53, 2.45
206, 7, 10, 0.45, 3, 3, 1, -58.71, -55.99, 5.52, 2.33, 7.00, 2.35
207, 7, 10, 0.45, 3, 3, 2, -46.57, -37.70, 7.73, 2.67, 13.42, 2.73
208, 7, 10, 0.45, 3, 3, 1, -56.01, -52.86, 32.51, 2.48, 14.53, 2.50
209, 7, 10, 0.45, 3, 3, 2, -79.87, -74.53, 12.61, 2.75, 8.21, 2.71
210, 7, 10, 0.45, 3, 3, 3, -61.83, -58.82, 7.35, 2.34, 5.86, 2.35
211, 7, 10, 0.45, 3, 3, 1, -88.41, -86.31, 6.77, 2.06, 11.21, 2.08
212, 7, 10, 0.45, 3, 3, 1, -84.32, -72.67, 6.57, 2.57, 4.90, 2.56
213, 7, 10, 0.45, 3, 3, 1, -60.77, -56.55, 3.54, 2.12, 5.99, 2.14
214, 7, 10, 0.45, 3, 3, 2, -81.24, -74.21, 2.46, 2.38, 4.52, 2.41
215, 7, 10, 0.45, 3, 3, 4, -94.10, -92.80, 4.37, 2.34, 3.99, 2.37
216, 7, 10, 0.45, 3, 3, 3, -74.02, -65.88, 2.54, 2.20, 3.98, 2.20
217, 7, 10, 0.45, 3, 3, 2, -69.01, -63.54, 7.34, 2.45, 9.72, 2.46
218, 7, 10, 0.45, 3, 3, 1, -70.23, -64.92, 2.11, 1.83, 2.38, 1.84
219, 7, 10, 0.45, 3, 3, 1, -81.01, -79.98, 8.65, 2.12, 7.43, 2.13
220, 7, 10, 0.45, 3, 3, 2, -76.42, -71.02, 5.00, 2.34, 5.43, 2.36
221, 7, 10, 0.45, 3, 3, 2, -74.04, -71.45, 5.42, 2.29, 4.40, 2.30
222, 7, 10, 0.45, 3, 3, 3, -70.63, -61.33, 3.90, 2.23, 7.23, 2.23
223, 7, 10, 0.45, 3, 3, 2, -61.52, -53.78, 5.02, 3.05, 4.42, 3.08
224, 7, 10, 0.45, 3, 3, 2, -61.16, -49.12, 8.69, 2.16, 20.74, 2.20
225, 7, 10, 0.45, 3, 3, 1, -76.01, -69.25, 2.87, 2.54, 8.45, 2.75
226, 7, 10, 0.45, 3, 3, 1, -74.13, -71.21, 3.02, 2.76, 4.63, 2.88
227, 7, 10, 0.45, 3, 3, 2, -68.55, -59.15, 6.23, 2.84, 8.20, 2.67
228, 7, 10, 0.45, 3, 3, 3, -74.49, -71.20, 10.03, 2.54, 6.63, 2.57
229, 7, 10, 0.45, 3, 3, 1, -96.64, -93.96, 6.97, 2.49, 6.53, 2.50
230, 7, 10, 0.45, 3, 3, 1, -64.85, -62.44, 6.03, 3.83, 5.04, 3.14
231, 7, 10, 0.45, 3, 3, 1, -66.13, -60.05, 19.10, 2.67, 7.63, 2.72
232, 7, 10, 0.45, 3, 3, 2, -70.28, -68.19, 4.38, 2.80, 3.59, 2.83
233, 7, 10, 0.45, 3, 3, 1, -42.75, -40.18, 12.40, 2.94, 8.46, 2.98
234, 7, 10, 0.45, 3, 3, 2, -123.48, -120.82, 2.87, 1.90, 3.04, 1.92
235, 7, 10, 0.45, 3, 3, 2, -66.67, -57.43, 6.20, 2.63, 12.92, 2.42
236, 7, 10, 0.45, 3, 3, 1, -97.05, -93.39, 2.92, 1.84, 4.62, 1.82
237, 7, 10, 0.45, 3, 3, 1, -72.53, -64.19, 3.07, 2.31, 3.90, 2.33
238, 7, 10, 0.45, 3, 3, 1, -58.56, -52.76, 11.40, 2.29, 7.01, 2.23
239, 7, 10, 0.45, 3, 3, 4, -59.24, -54.61, 4.56, 2.42, 6.34, 2.53
240, 7, 10, 0.45, 3, 3, 1, -97.81, -92.29, 2.85, 2.34, 3.43, 2.18
241, 7, 10, 0.45, 3, 3, 1, -89.39, -85.41, 3.57, 2.44, 5.70, 2.63
242, 7, 10, 0.45, 3, 3, 1, -96.28, -89.84, 4.70, 2.02, 1.17, 2.09
243, 7, 10, 0.45, 3, 3, 2, -72.38, -63.91, 5.17, 2.33, 13.94, 2.35
244, 7, 10, 0.45, 3, 3, 2, -76.37, -56.99, 2.24, 2.75, 13.36, 2.81
245, 7, 10, 0.45, 3, 3, 1, -60.32, -58.60, 6.22, 2.26, 7.73, 2.27
246, 7, 10, 0.45, 3, 3, 2, -76.08, -72.72, 7.44, 2.45, 8.78, 2.43
247, 7, 10, 0.45, 3, 3, 1, -87.74, -86.70, 6.79, 1.75, 5.77, 1.75
248, 7, 10, 0.45, 3, 3, 1, -50.83, -44.28, 8.28, 1.96, 20.85, 2.13
249, 7, 10, 0.45, 3, 3, 1, -56.15, -53.41, 9.67, 2.39, 6.41, 2.39
