k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
514, optimal, 66.7, 720, 100.0, 100.0, 0.0, 4.6
515, optimal, 33.3, 4, 13.3, 33.3, 26.7, 0.4
516, optimal, 60.0, 24, 40.0, 86.7, 46.7, 0.4
517, optimal, 60.0, 12, 26.7, 86.7, 66.7, 0.4
518, optimal, 73.3, 4, 13.3, 86.7, 73.3, 0.6
519, optimal, 46.7, 4, 13.3, 80.0, 73.3, 0.5
520, optimal, 66.7, 8, 40.0, 73.3, 60.0, 0.4
521, optimal, 33.3, 6, 40.0, 46.7, 33.3, 0.5
522, optimal, 53.3, 12, 100.0, 73.3, 40.0, 0.5
523, optimal, 80.0, 6, 20.0, 40.0, 26.7, 0.6
524, optimal, 46.7, 8, 40.0, 73.3, 60.0, 0.5
525, optimal, 46.7, 2, 6.7, 73.3, 73.3, 0.6
526, optimal, 33.3, 4, 13.3, 86.7, 80.0, 0.5
527, optimal, 66.7, 4, 20.0, 100.0, 86.7, 0.6
528, optimal, 73.3, 2, 6.7, 93.3, 93.3, 0.5
529, optimal, 40.0, 2, 6.7, 53.3, 53.3, 0.5
530, optimal, 66.7, 8, 40.0, 80.0, 66.7, 0.4
531, optimal, 60.0, 4, 13.3, 93.3, 80.0, 0.5
532, optimal, 60.0, 4, 26.7, 93.3, 73.3, 0.6
533, optimal, 40.0, 720, 100.0, 100.0, 0.0, 4.6
534, optimal, 46.7, 120, 66.7, 100.0, 33.3, 0.5
535, optimal, 60.0, 12, 26.7, 86.7, 66.7, 0.4
536, optimal, 66.7, 2, 33.3, 100.0, 100.0, 0.5
537, optimal, 66.7, 4, 13.3, 60.0, 53.3, 0.5
538, optimal, 66.7, 4, 13.3, 93.3, 86.7, 0.5
539, optimal, 60.0, 8, 26.7, 93.3, 73.3, 0.5
540, optimal, 60.0, 4, 13.3, 100.0, 86.7, 0.6
541, optimal, 66.7, 24, 40.0, 100.0, 66.7, 0.4
542, optimal, 53.3, 120, 66.7, 93.3, 26.7, 0.5
543, optimal, 53.3, 2, 6.7, 60.0, 60.0, 0.6
544, optimal, 73.3, 24, 40.0, 100.0, 60.0, 0.4
545, optimal, 26.7, 14, 93.3, 80.0, 33.3, 0.5
546, optimal, 73.3, 12, 26.7, 80.0, 53.3, 0.4
547, optimal, 60.0, 3, 93.3, 60.0, 53.3, 0.6
548, optimal, 40.0, 5, 40.0, 86.7, 53.3, 0.5
549, optimal, 40.0, 16, 40.0, 46.7, 6.7, 0.4
550, optimal, 20.0, 8, 20.0, 46.7, 26.7, 0.5
551, optimal, 26.7, 13, 60.0, 86.7, 40.0, 0.5
552, optimal, 46.7, 4, 13.3, 53.3, 46.7, 0.5
553, optimal, 20.0, 12, 26.7, 66.7, 40.0, 0.4
554, optimal, 53.3, 48, 46.7, 86.7, 40.0, 0.4
555, optimal, 46.7, 8, 33.3, 80.0, 60.0, 0.5
556, optimal, 53.3, 8, 26.7, 100.0, 80.0, 0.4
557, optimal, 73.3, 1, 0.0, 93.3, 93.3, 0.6
558, optimal, 40.0, 2, 6.7, 93.3, 93.3, 0.6
559, optimal, 93.3, 2, 6.7, 100.0, 100.0, 0.5
560, optimal, 46.7, 8, 20.0, 80.0, 66.7, 0.4
561, optimal, 46.7, 2, 6.7, 66.7, 66.7, 0.4
562, optimal, 40.0, 6, 20.0, 60.0, 46.7, 0.5
563, optimal, 33.3, 12, 66.7, 66.7, 33.3, 0.4
564, optimal, 26.7, 2, 6.7, 66.7, 66.7, 0.6
565, optimal, 46.7, 4, 13.3, 73.3, 66.7, 0.4
566, optimal, 26.7, 6, 20.0, 53.3, 33.3, 0.7
567, optimal, 46.7, 4, 13.3, 80.0, 73.3, 0.6
568, optimal, 40.0, 18, 80.0, 66.7, 20.0, 0.6
569, optimal, 60.0, 3, 13.3, 80.0, 73.3, 0.5
570, optimal, 60.0, 48, 46.7, 86.7, 46.7, 0.5
571, optimal, 20.0, 16, 66.7, 80.0, 53.3, 0.4
572, optimal, 33.3, 2, 6.7, 60.0, 60.0, 0.6
573, optimal, 33.3, 12, 26.7, 66.7, 46.7, 0.4
574, optimal, 26.7, 8, 26.7, 73.3, 53.3, 0.4
575, optimal, 66.7, 2, 6.7, 100.0, 100.0, 0.6
576, optimal, 53.3, 2, 6.7, 80.0, 80.0, 0.6
577, optimal, 26.7, 720, 100.0, 100.0, 0.0, 4.1
578, optimal, 46.7, 3, 13.3, 66.7, 60.0, 0.6
579, optimal, 73.3, 4, 13.3, 80.0, 73.3, 0.4
580, optimal, 33.3, 6, 20.0, 60.0, 46.7, 0.6
581, optimal, 26.7, 120, 66.7, 80.0, 13.3, 0.5
582, optimal, 66.7, 10, 86.7, 93.3, 46.7, 0.7
583, optimal, 53.3, 12, 26.7, 86.7, 66.7, 0.5
584, optimal, 33.3, 2, 6.7, 46.7, 46.7, 0.5
585, optimal, 73.3, 4, 13.3, 100.0, 86.7, 0.5
586, optimal, 60.0, 8, 26.7, 100.0, 73.3, 0.5
587, optimal, 26.7, 12, 26.7, 80.0, 53.3, 0.4
588, optimal, 86.7, 2, 6.7, 100.0, 100.0, 0.6
589, optimal, 60.0, 48, 46.7, 100.0, 53.3, 0.4
590, optimal, 40.0, 48, 46.7, 86.7, 40.0, 0.4
591, optimal, 60.0, 4, 20.0, 93.3, 86.7, 0.5
592, optimal, 13.3, 54, 73.3, 66.7, 0.0, 0.5
593, optimal, 40.0, 2, 6.7, 80.0, 80.0, 0.7
594, optimal, 20.0, 36, 40.0, 73.3, 33.3, 0.5
595, optimal, 60.0, 8, 26.7, 80.0, 60.0, 0.5
596, optimal, 73.3, 6, 20.0, 93.3, 80.0, 0.5
597, optimal, 66.7, 4, 13.3, 80.0, 73.3, 0.4
598, optimal, 66.7, 6, 20.0, 66.7, 53.3, 0.5
599, optimal, 66.7, 4, 13.3, 60.0, 46.7, 0.5
600, optimal, 40.0, 2, 6.7, 93.3, 93.3, 0.7
601, optimal, 40.0, 8, 26.7, 66.7, 46.7, 0.5
602, optimal, 46.7, 2, 6.7, 60.0, 60.0, 0.5
603, optimal, 73.3, 26, 53.3, 60.0, 20.0, 0.5
604, optimal, 40.0, 12, 26.7, 66.7, 40.0, 0.4
605, optimal, 6.7, 6, 66.7, 46.7, 33.3, 0.5
606, optimal, 60.0, 2, 6.7, 93.3, 93.3, 0.6
607, optimal, 40.0, 8, 26.7, 100.0, 73.3, 0.5
608, optimal, 80.0, 6, 20.0, 100.0, 86.7, 0.7
609, optimal, 46.7, 48, 46.7, 100.0, 53.3, 0.4
610, optimal, 46.7, 16, 46.7, 93.3, 66.7, 0.4
611, optimal, 46.7, 2, 6.7, 53.3, 53.3, 0.5
612, optimal, 53.3, 4, 13.3, 80.0, 73.3, 0.4
613, optimal, 46.7, 12, 26.7, 46.7, 26.7, 0.4
614, optimal, 40.0, 4, 13.3, 80.0, 73.3, 0.5
615, optimal, 40.0, 6, 20.0, 66.7, 53.3, 0.5
616, optimal, 80.0, 4, 13.3, 100.0, 86.7, 0.5
617, optimal, 66.7, 12, 26.7, 60.0, 33.3, 0.4
618, optimal, 33.3, 22, 93.3, 80.0, 40.0, 0.5
619, optimal, 60.0, 3, 13.3, 100.0, 93.3, 0.5
620, optimal, 53.3, 6, 20.0, 73.3, 60.0, 0.5
621, optimal, 66.7, 16, 53.3, 100.0, 53.3, 0.4
622, optimal, 46.7, 9, 33.3, 93.3, 73.3, 0.5
623, optimal, 73.3, 10, 53.3, 93.3, 46.7, 0.5
624, optimal, 46.7, 48, 46.7, 93.3, 46.7, 0.4
625, optimal, 33.3, 2, 6.7, 66.7, 66.7, 0.5
626, optimal, 33.3, 6, 20.0, 60.0, 40.0, 0.6
627, optimal, 80.0, 48, 46.7, 93.3, 53.3, 0.4
628, optimal, 26.7, 13, 53.3, 73.3, 26.7, 0.5
629, optimal, 46.7, 18, 73.3, 80.0, 46.7, 0.5
630, optimal, 46.7, 8, 26.7, 53.3, 33.3, 0.5
631, optimal, 46.7, 24, 40.0, 86.7, 46.7, 0.4
632, optimal, 40.0, 2, 6.7, 40.0, 40.0, 0.4
633, optimal, 73.3, 36, 40.0, 80.0, 40.0, 0.4
634, optimal, 86.7, 2, 6.7, 93.3, 93.3, 0.6
635, optimal, 73.3, 4, 13.3, 100.0, 93.3, 0.5
636, optimal, 66.7, 16, 40.0, 100.0, 73.3, 0.5
637, optimal, 46.7, 2, 6.7, 100.0, 100.0, 0.6
638, optimal, 66.7, 12, 26.7, 86.7, 66.7, 0.4
639, optimal, 66.7, 4, 13.3, 86.7, 73.3, 0.4
640, optimal, 53.3, 4, 13.3, 73.3, 66.7, 0.4
641, optimal, 53.3, 120, 66.7, 66.7, 0.0, 0.5
642, optimal, 33.3, 2, 6.7, 80.0, 80.0, 0.5
643, optimal, 53.3, 2, 6.7, 53.3, 53.3, 0.5
644, optimal, 46.7, 8, 20.0, 66.7, 53.3, 0.4
645, optimal, 46.7, 4, 13.3, 60.0, 53.3, 0.4
646, optimal, 73.3, 4, 13.3, 73.3, 66.7, 0.6
647, optimal, 46.7, 4, 13.3, 60.0, 53.3, 0.5
648, optimal, 66.7, 12, 46.7, 86.7, 60.0, 0.6
649, optimal, 80.0, 8, 26.7, 100.0, 73.3, 0.4
650, optimal, 66.7, 2, 6.7, 73.3, 73.3, 0.4
651, optimal, 73.3, 24, 40.0, 80.0, 40.0, 0.4
652, optimal, 40.0, 14, 46.7, 100.0, 60.0, 0.4
653, optimal, 73.3, 8, 26.7, 100.0, 73.3, 0.4
654, optimal, 33.3, 2, 6.7, 60.0, 60.0, 0.5
655, optimal, 46.7, 12, 26.7, 86.7, 66.7, 0.4
656, optimal, 60.0, 2, 6.7, 80.0, 80.0, 0.5
657, optimal, 40.0, 2, 6.7, 73.3, 73.3, 0.5
658, optimal, 40.0, 4, 20.0, 80.0, 73.3, 0.7
659, optimal, 60.0, 48, 46.7, 86.7, 40.0, 0.4
660, optimal, 60.0, 48, 46.7, 86.7, 40.0, 0.4
661, optimal, 66.7, 6, 40.0, 100.0, 66.7, 0.5
662, optimal, 20.0, 6, 33.3, 80.0, 66.7, 0.5
663, optimal, 93.3, 8, 40.0, 86.7, 53.3, 0.5
664, optimal, 20.0, 12, 46.7, 80.0, 40.0, 0.6
665, optimal, 80.0, 4, 13.3, 53.3, 46.7, 0.5
666, optimal, 33.3, 2, 6.7, 53.3, 53.3, 0.5
667, optimal, 66.7, 1, 0.0, 93.3, 93.3, 0.6
668, optimal, 73.3, 36, 40.0, 100.0, 60.0, 0.4
669, optimal, 46.7, 4, 13.3, 53.3, 46.7, 0.4
670, optimal, 46.7, 720, 100.0, 100.0, 0.0, 4.6
671, optimal, 66.7, 2, 6.7, 86.7, 86.7, 0.5
672, optimal, 40.0, 6, 20.0, 60.0, 40.0, 0.6
673, optimal, 46.7, 1, 0.0, 86.7, 86.7, 0.5
674, optimal, 6.7, 2, 6.7, 33.3, 33.3, 0.5
675, optimal, 46.7, 12, 33.3, 73.3, 40.0, 0.5
676, optimal, 53.3, 12, 26.7, 86.7, 60.0, 0.4
677, optimal, 53.3, 11, 46.7, 100.0, 73.3, 0.6
678, optimal, 26.7, 26, 53.3, 100.0, 53.3, 0.5
679, optimal, 66.7, 2, 6.7, 100.0, 100.0, 0.5
680, optimal, 53.3, 31, 86.7, 86.7, 46.7, 0.6
681, optimal, 60.0, 4, 33.3, 73.3, 53.3, 0.5
682, optimal, 33.3, 6, 20.0, 80.0, 60.0, 0.4
683, optimal, 20.0, 3, 13.3, 40.0, 33.3, 0.5
684, optimal, 66.7, 4, 13.3, 80.0, 66.7, 0.4
685, optimal, 26.7, 3, 13.3, 53.3, 46.7, 0.5
686, optimal, 20.0, 24, 86.7, 66.7, 33.3, 0.4
687, optimal, 60.0, 4, 46.7, 100.0, 86.7, 0.5
688, optimal, 40.0, 2, 6.7, 66.7, 66.7, 0.6
689, optimal, 80.0, 120, 66.7, 100.0, 33.3, 0.5
690, optimal, 53.3, 4, 13.3, 73.3, 66.7, 0.5
691, optimal, 66.7, 8, 20.0, 100.0, 80.0, 0.5
