run,k,n,method,step,time
test,26,20,CPP,BDD-align-to-vs,99.6
test,26,20,CPP,intersection-build,5.1
test,26,20,CPP,intersection-SP-solve,0.7
test,27,20,gen_instance,all, 8.8
test,27,20,plain_MIP,build+solve,2.3
test,27,20,CPP,BDD-build,119.4
test,27,20,CPP,MIP-build,56.5
test,27,20,CPP,MIP-solve,11.9
test,27,20,CPP,VS-build+solve,54.4
test,27,20,CPP,BDD-align-to-vs,104.4
test,27,20,CPP,intersection-build,6.5
test,27,20,CPP,intersection-SP-solve,1.6
test,28,20,gen_instance,all, 7.9
test,28,20,plain_MIP,build+solve,1.6
test,28,20,CPP,BDD-build,68.9
test,28,20,CPP,MIP-build,10.9
test,28,20,CPP,MIP-solve,7.3
test,28,20,CPP,VS-build+solve,41.2
test,28,20,CPP,BDD-align-to-vs,45.2
test,28,20,CPP,intersection-build,3.3
test,28,20,CPP,intersection-SP-solve,0.5
test,29,20,gen_instance,all, 8.6
test,29,20,plain_MIP,build+solve,2.5
test,29,20,CPP,BDD-build,155.0
test,29,20,CPP,MIP-build,24.2
test,29,20,CPP,MIP-solve,19.4
test,29,20,CPP,VS-build+solve,44.0
test,29,20,CPP,BDD-align-to-vs,130.2
test,29,20,CPP,intersection-build,8.5
test,29,20,CPP,intersection-SP-solve,1.5
test,30,20,gen_instance,all, 10.2
test,30,20,plain_MIP,build+solve,3.8
test,30,20,CPP,BDD-build,151.5
test,30,20,CPP,MIP-build,22.6
test,30,20,CPP,MIP-solve,21.1
test,30,20,CPP,VS-build+solve,137.4
test,30,20,CPP,BDD-align-to-vs,122.6
test,30,20,CPP,intersection-build,9.9
test,30,20,CPP,intersection-SP-solve,2.2
test,31,20,gen_instance,all, 7.7
test,31,20,plain_MIP,build+solve,1.6
test,31,20,CPP,BDD-build,117.8
test,31,20,CPP,MIP-build,20.9
test,31,20,CPP,MIP-solve,14.8
test,31,20,CPP,VS-build+solve,60.8
test,31,20,CPP,BDD-align-to-vs,107.6
test,31,20,CPP,intersection-build,14.3
test,31,20,CPP,intersection-SP-solve,3.5
test,32,20,gen_instance,all, 8.6
test,32,20,plain_MIP,build+solve,2.1
test,32,20,CPP,BDD-build,126.5
test,32,20,CPP,MIP-build,21.8
test,32,20,CPP,MIP-solve,12.9
test,32,20,CPP,VS-build+solve,18.5
test,32,20,CPP,BDD-align-to-vs,86.8
test,32,20,CPP,intersection-build,9.1
test,32,20,CPP,intersection-SP-solve,2.3
test,33,20,gen_instance,all, 9.2
test,33,20,plain_MIP,build+solve,2.6
test,33,20,CPP,BDD-build,186.3
test,33,20,CPP,MIP-build,20.8
test,33,20,CPP,MIP-solve,15.6
test,33,20,CPP,VS-build+solve,107.4
test,33,20,CPP,BDD-align-to-vs,156.7
test,33,20,CPP,intersection-build,10.5
test,33,20,CPP,intersection-SP-solve,3.0
test,34,20,gen_instance,all, 8.7
test,34,20,plain_MIP,build+solve,2.3
test,34,20,CPP,BDD-build,123.6
test,34,20,CPP,MIP-build,17.8
test,34,20,CPP,MIP-solve,12.6
test,34,20,CPP,VS-build+solve,44.1
test,34,20,CPP,BDD-align-to-vs,102.6
test,34,20,CPP,intersection-build,8.2
test,34,20,CPP,intersection-SP-solve,1.4
