run,k,n,method,step,time
test,20,20,CPP,MIP-build,31.4
test,20,20,CPP,MIP-solve,17.7
test,20,20,CPP,VS-build+solve,26.5
test,20,20,CPP,BDD-align-to-vs,69.7
test,20,20,CPP,intersection-build,9.3
test,20,20,CPP,intersection-SP-solve,1.3
test,21,20,gen_instance,all, 11.6
test,21,20,plain_MIP,build+solve,1.6
test,21,20,CPP,BDD-build,169.0
test,21,20,CPP,MIP-build,32.6
test,21,20,CPP,MIP-solve,23.8
test,21,20,CPP,VS-build+solve,138.2
test,21,20,CPP,BDD-align-to-vs,103.7
test,21,20,CPP,intersection-build,12.5
test,21,20,CPP,intersection-SP-solve,1.7
test,22,20,gen_instance,all, 11.7
test,22,20,plain_MIP,build+solve,1.5
test,22,20,CPP,BDD-build,131.2
test,22,20,CPP,MIP-build,28.1
test,22,20,CPP,MIP-solve,16.2
test,22,20,CPP,VS-build+solve,82.5
test,22,20,CPP,BDD-align-to-vs,127.0
test,22,20,CPP,intersection-build,20.9
test,22,20,CPP,intersection-SP-solve,4.2
test,23,20,gen_instance,all, 13.5
test,23,20,plain_MIP,build+solve,3.1
test,23,20,CPP,BDD-build,188.7
test,23,20,CPP,MIP-build,33.5
test,23,20,CPP,MIP-solve,17.4
test,23,20,CPP,VS-build+solve,169.1
test,23,20,CPP,BDD-align-to-vs,85.4
test,23,20,CPP,intersection-build,12.1
test,23,20,CPP,intersection-SP-solve,3.0
test,24,20,gen_instance,all, 14.3
test,24,20,plain_MIP,build+solve,4.4
test,24,20,CPP,BDD-build,348.8
test,24,20,CPP,MIP-build,53.6
test,24,20,CPP,MIP-solve,30.2
test,24,20,CPP,VS-build+solve,33.7
test,24,20,CPP,BDD-align-to-vs,154.9
test,24,20,CPP,intersection-build,27.6
test,24,20,CPP,intersection-SP-solve,7.0
test,25,20,gen_instance,all, 12.6
test,25,20,plain_MIP,build+solve,2.2
test,25,20,CPP,BDD-build,249.8
test,25,20,CPP,MIP-build,42.2
test,25,20,CPP,MIP-solve,18.0
test,25,20,CPP,VS-build+solve,15.1
test,25,20,CPP,BDD-align-to-vs,89.3
test,25,20,CPP,intersection-build,15.4
test,25,20,CPP,intersection-SP-solve,2.7
test,26,20,gen_instance,all, 12.0
test,26,20,plain_MIP,build+solve,1.9
test,26,20,CPP,BDD-build,112.1
test,26,20,CPP,MIP-build,23.4
test,26,20,CPP,MIP-solve,12.2
test,26,20,CPP,VS-build+solve,109.7
test,26,20,CPP,BDD-align-to-vs,84.6
test,26,20,CPP,intersection-build,10.8
test,26,20,CPP,intersection-SP-solve,2.0
test,27,20,gen_instance,all, 12.5
test,27,20,plain_MIP,build+solve,1.7
test,27,20,CPP,BDD-build,92.4
test,27,20,CPP,MIP-build,18.4
test,27,20,CPP,MIP-solve,7.2
test,27,20,CPP,VS-build+solve,74.5
test,27,20,CPP,BDD-align-to-vs,42.3
test,27,20,CPP,intersection-build,3.9
test,27,20,CPP,intersection-SP-solve,0.6
test,28,20,gen_instance,all, 15.3
test,28,20,plain_MIP,build+solve,2.7
test,28,20,CPP,BDD-build,137.9
test,28,20,CPP,MIP-build,27.3
test,28,20,CPP,MIP-solve,13.6
test,28,20,CPP,VS-build+solve,28.2
test,28,20,CPP,BDD-align-to-vs,72.7
test,28,20,CPP,intersection-build,16.0
test,28,20,CPP,intersection-SP-solve,3.5
test,29,20,gen_instance,all, 19.7
test,29,20,plain_MIP,build+solve,9.5
test,29,20,CPP,BDD-build,231.0
test,29,20,CPP,MIP-build,42.1
test,29,20,CPP,MIP-solve,18.7
test,29,20,CPP,VS-build+solve,40.1
test,29,20,CPP,BDD-align-to-vs,108.7
test,29,20,CPP,intersection-build,16.4
test,29,20,CPP,intersection-SP-solve,3.8
test,30,20,gen_instance,all, 13.0
test,30,20,plain_MIP,build+solve,2.6
test,30,20,CPP,BDD-build,194.9
test,30,20,CPP,MIP-build,41.7
test,30,20,CPP,MIP-solve,20.1
test,30,20,CPP,VS-build+solve,56.6
test,30,20,CPP,BDD-align-to-vs,188.6
test,30,20,CPP,intersection-build,12.3
test,30,20,CPP,intersection-SP-solve,2.7
test,31,20,gen_instance,all, 13.9
test,31,20,plain_MIP,build+solve,3.1
test,31,20,CPP,BDD-build,155.9
test,31,20,CPP,MIP-build,29.9
test,31,20,CPP,MIP-solve,14.8
test,31,20,CPP,VS-build+solve,57.3
test,31,20,CPP,BDD-align-to-vs,75.9
test,31,20,CPP,intersection-build,8.7
test,31,20,CPP,intersection-SP-solve,2.3
test,32,20,gen_instance,all, 11.8
test,32,20,plain_MIP,build+solve,1.6
test,32,20,CPP,BDD-build,233.4
test,32,20,CPP,MIP-build,39.0
test,32,20,CPP,MIP-solve,16.6
test,32,20,CPP,VS-build+solve,24.7
test,32,20,CPP,BDD-align-to-vs,113.9
test,32,20,CPP,intersection-build,13.5
test,32,20,CPP,intersection-SP-solve,2.8
test,33,20,gen_instance,all, 15.3
test,33,20,plain_MIP,build+solve,5.0
test,33,20,CPP,BDD-build,226.0
test,33,20,CPP,MIP-build,46.0
test,33,20,CPP,MIP-solve,22.2
test,33,20,CPP,VS-build+solve,21.2
test,33,20,CPP,BDD-align-to-vs,96.8
test,33,20,CPP,intersection-build,16.5
test,33,20,CPP,intersection-SP-solve,2.9
test,34,20,gen_instance,all, 11.4
test,34,20,plain_MIP,build+solve,1.5
test,34,20,CPP,BDD-build,182.0
test,34,20,CPP,MIP-build,84.8
test,34,20,CPP,MIP-solve,16.3
test,34,20,CPP,VS-build+solve,41.4
test,34,20,CPP,BDD-align-to-vs,170.5
test,34,20,CPP,intersection-build,17.8
test,34,20,CPP,intersection-SP-solve,4.4
test,35,20,gen_instance,all, 12.2
test,35,20,plain_MIP,build+solve,1.8
test,35,20,CPP,BDD-build,189.5
test,35,20,CPP,MIP-build,32.0
test,35,20,CPP,MIP-solve,22.9
test,35,20,CPP,VS-build+solve,38.9
test,35,20,CPP,BDD-align-to-vs,105.5
test,35,20,CPP,intersection-build,8.0
test,35,20,CPP,intersection-SP-solve,1.9
test,36,20,gen_instance,all, 13.8
test,36,20,plain_MIP,build+solve,3.1
test,36,20,CPP,BDD-build,294.5
test,36,20,CPP,MIP-build,48.8
test,36,20,CPP,MIP-solve,24.5
test,36,20,CPP,VS-build+solve,76.6
test,36,20,CPP,BDD-align-to-vs,180.5
test,36,20,CPP,intersection-build,16.8
test,36,20,CPP,intersection-SP-solve,3.5
test,37,20,gen_instance,all, 15.2
test,37,20,plain_MIP,build+solve,3.9
test,37,20,CPP,BDD-build,258.6
test,37,20,CPP,MIP-build,100.4
test,37,20,CPP,MIP-solve,19.4
test,37,20,CPP,VS-build+solve,36.4
test,37,20,CPP,BDD-align-to-vs,128.0
test,37,20,CPP,intersection-build,15.7
test,37,20,CPP,intersection-SP-solve,3.1
test,38,20,gen_instance,all, 11.0
test,38,20,plain_MIP,build+solve,1.0
test,38,20,CPP,BDD-build,191.9
test,38,20,CPP,MIP-build,29.7
test,38,20,CPP,MIP-solve,14.6
test,38,20,CPP,VS-build+solve,34.0
test,38,20,CPP,BDD-align-to-vs,130.1
test,38,20,CPP,intersection-build,6.7
test,38,20,CPP,intersection-SP-solve,0.8
test,39,20,gen_instance,all, 12.9
test,39,20,plain_MIP,build+solve,2.6
test,39,20,CPP,BDD-build,123.2
test,39,20,CPP,MIP-build,26.1
test,39,20,CPP,MIP-solve,11.5
test,39,20,CPP,VS-build+solve,40.7
test,39,20,CPP,BDD-align-to-vs,68.2
test,39,20,CPP,intersection-build,9.7
test,39,20,CPP,intersection-SP-solve,2.2
test,40,20,gen_instance,all, 12.4
test,40,20,plain_MIP,build+solve,2.0
test,40,20,CPP,BDD-build,149.4
test,40,20,CPP,MIP-build,26.2
test,40,20,CPP,MIP-solve,15.0
test,40,20,CPP,VS-build+solve,18.3
test,40,20,CPP,BDD-align-to-vs,61.9
test,40,20,CPP,intersection-build,9.3
test,40,20,CPP,intersection-SP-solve,2.3
test,41,20,gen_instance,all, 12.0
test,41,20,plain_MIP,build+solve,1.5
test,41,20,CPP,BDD-build,143.1
test,41,20,CPP,MIP-build,25.5
test,41,20,CPP,MIP-solve,14.8
test,41,20,CPP,VS-build+solve,79.8
test,41,20,CPP,BDD-align-to-vs,79.6
test,41,20,CPP,intersection-build,9.5
test,41,20,CPP,intersection-SP-solve,2.0
test,42,20,gen_instance,all, 13.4
test,42,20,plain_MIP,build+solve,2.6
test,42,20,CPP,BDD-build,256.5
test,42,20,CPP,MIP-build,33.9
test,42,20,CPP,MIP-solve,15.3
test,42,20,CPP,VS-build+solve,23.5
test,42,20,CPP,BDD-align-to-vs,90.0
test,42,20,CPP,intersection-build,9.8
test,42,20,CPP,intersection-SP-solve,1.0
test,43,20,gen_instance,all, 13.5
test,43,20,plain_MIP,build+solve,3.4
test,43,20,CPP,BDD-build,352.8
test,43,20,CPP,MIP-build,61.8
test,43,20,CPP,MIP-solve,32.5
test,43,20,CPP,VS-build+solve,61.1
test,43,20,CPP,BDD-align-to-vs,254.9
test,43,20,CPP,intersection-build,15.3
test,43,20,CPP,intersection-SP-solve,2.0
test,44,20,gen_instance,all, 13.8
test,44,20,plain_MIP,build+solve,3.1
test,44,20,CPP,BDD-build,218.7
test,44,20,CPP,MIP-build,34.4
test,44,20,CPP,MIP-solve,14.1
test,44,20,CPP,VS-build+solve,19.5
test,44,20,CPP,BDD-align-to-vs,76.4
test,44,20,CPP,intersection-build,12.4
test,44,20,CPP,intersection-SP-solve,2.5
test,45,20,gen_instance,all, 12.3
test,45,20,plain_MIP,build+solve,2.0
test,45,20,CPP,BDD-build,326.2
test,45,20,CPP,MIP-build,47.2
test,45,20,CPP,MIP-solve,30.2
test,45,20,CPP,VS-build+solve,60.8
test,45,20,CPP,BDD-align-to-vs,120.2
test,45,20,CPP,intersection-build,10.9
test,45,20,CPP,intersection-SP-solve,1.4
test,46,20,gen_instance,all, 13.3
test,46,20,plain_MIP,build+solve,2.3
test,46,20,CPP,BDD-build,191.7
test,46,20,CPP,MIP-build,36.9
test,46,20,CPP,MIP-solve,33.4
test,46,20,CPP,VS-build+solve,50.7
