k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
422, optimal, 47.6, 18, 28.6, 95.2, 76.2, 3.2
423, optimal, 57.1, 4, 33.3, 81.0, 57.1, 3.4
424, optimal, 38.1, 8, 14.3, 66.7, 57.1, 3.7
425, optimal, 33.3, 16, 38.1, 81.0, 52.4, 3.2
426, optimal, 42.9, 4, 9.5, 57.1, 52.4, 3.2
427, optimal, 42.9, 2, 4.8, 66.7, 66.7, 4.0
428, optimal, 57.1, 2, 4.8, 81.0, 81.0, 4.8
429, optimal, 85.7, 4, 9.5, 100.0, 95.2, 3.1
430, optimal, 33.3, 2, 4.8, 52.4, 52.4, 3.3
431, optimal, 61.9, 14, 100.0, 76.2, 33.3, 3.4
432, optimal, 38.1, 8, 23.8, 81.0, 71.4, 4.1
433, optimal, 42.9, 12, 19.0, 52.4, 33.3, 2.9
434, optimal, 47.6, 720, 71.4, 100.0, 28.6, 5.6
435, optimal, 61.9, 30, 57.1, 100.0, 42.9, 3.0
436, optimal, 9.5, 36, 28.6, 42.9, 14.3, 2.3
437, optimal, 76.2, 4, 9.5, 90.5, 85.7, 3.3
438, optimal, 76.2, 8, 19.0, 85.7, 76.2, 3.5
439, optimal, 81.0, 12, 19.0, 57.1, 42.9, 2.6
440, optimal, 66.7, 4, 14.3, 90.5, 85.7, 3.7
441, optimal, 42.9, 12, 19.0, 71.4, 52.4, 3.0
442, optimal, 57.1, 32, 33.3, 76.2, 42.9, 2.6
443, optimal, 47.6, 48, 52.4, 81.0, 52.4, 2.4
444, optimal, 38.1, 12, 19.0, 90.5, 71.4, 2.4
445, optimal, 42.9, 240, 52.4, 76.2, 23.8, 2.6
446, optimal, 57.1, 2, 4.8, 71.4, 71.4, 3.1
447, optimal, 42.9, 2, 4.8, 76.2, 76.2, 4.0
448, optimal, 66.7, 48, 33.3, 95.2, 61.9, 2.3
449, optimal, 42.9, 10, 23.8, 90.5, 76.2, 3.3
450, optimal, 52.4, 2, 4.8, 81.0, 81.0, 3.0
451, optimal, 38.1, 36, 33.3, 81.0, 52.4, 3.7
452, optimal, 61.9, 24, 28.6, 100.0, 76.2, 2.7
453, optimal, 57.1, 4, 14.3, 52.4, 42.9, 4.0
454, optimal, 28.6, 36, 28.6, 76.2, 52.4, 2.5
455, optimal, 47.6, 2, 4.8, 42.9, 42.9, 3.7
456, optimal, 61.9, 12, 19.0, 76.2, 61.9, 2.6
457, optimal, 61.9, 4, 9.5, 81.0, 76.2, 2.6
458, optimal, 61.9, 24, 28.6, 90.5, 71.4, 2.8
459, optimal, 57.1, 48, 33.3, 85.7, 52.4, 2.9
460, optimal, 38.1, 240, 52.4, 81.0, 28.6, 2.6
461, optimal, 33.3, 4, 14.3, 76.2, 71.4, 3.4
462, optimal, 61.9, 2, 4.8, 81.0, 81.0, 3.9
463, optimal, 47.6, 12, 28.6, 85.7, 66.7, 3.9
464, optimal, 81.0, 6, 14.3, 95.2, 85.7, 3.1
