instance,num_type,step,LB,UB,comment
40,steplog,84,165,165,status:optimal
40,timelog,84,0.4199683666229248,0,--none--
41,steplog,10,339,429,--none--
41,steplog,20,398,413,--none--
41,steplog,30,398,405,--none--
41,steplog,33,405,405,status:optimal
41,timelog,33,0.18551301956176758,0,--none--
42,steplog,10,326,430,--none--
42,steplog,20,326,414,--none--
42,steplog,30,352,413,--none--
42,steplog,40,387,406,--none--
42,steplog,50,398,399,--none--
42,steplog,53,399,399,status:optimal
42,timelog,53,0.2702045440673828,0,--none--
43,steplog,10,192,301,--none--
43,steplog,20,278,285,--none--
43,steplog,27,285,285,status:optimal
43,timelog,27,0.14150261878967285,0,--none--
44,steplog,10,273,312,--none--
44,steplog,20,309,312,--none--
44,steplog,28,312,312,status:optimal
44,timelog,28,0.17709779739379883,0,--none--
45,steplog,10,168,238,--none--
45,steplog,20,177,238,--none--
45,steplog,30,222,228,--none--
45,steplog,36,228,228,status:optimal
45,timelog,36,0.18698763847351074,0,--none--
46,steplog,10,253,388,--none--
46,steplog,20,283,353,--none--
46,steplog,30,347,347,--none--
46,steplog,31,347,347,status:optimal
46,timelog,31,0.15458297729492188,0,--none--
47,steplog,10,167,293,--none--
47,steplog,20,167,279,--none--
47,steplog,30,201,261,--none--
47,steplog,40,201,259,--none--
47,steplog,50,219,259,--none--
47,steplog,60,247,251,--none--
47,steplog,63,251,251,status:optimal
47,timelog,63,0.31389832496643066,0,--none--
48,steplog,10,247,363,--none--
48,steplog,20,300,361,--none--
48,steplog,30,300,359,--none--
48,steplog,40,336,347,--none--
48,steplog,45,347,347,status:optimal
48,timelog,45,0.21491646766662598,0,--none--
49,steplog,10,211,292,--none--
49,steplog,20,235,265,--none--
49,steplog,30,262,265,--none--
49,steplog,33,265,265,status:optimal
49,timelog,33,0.14899921417236328,0,--none--
4,steplog,10,136,167,--none--
4,steplog,20,136,165,--none--
4,steplog,30,148,165,--none--
4,steplog,39,165,165,status:optimal
4,timelog,39,0.22134041786193848,0,--none--
50,steplog,10,315,416,--none--
50,steplog,20,315,404,--none--
50,steplog,30,377,404,--none--
50,steplog,37,404,404,status:optimal
50,timelog,37,0.2255239486694336,0,--none--
51,steplog,10,130,254,--none--
51,steplog,20,130,241,--none--
51,steplog,30,130,238,--none--
51,steplog,40,130,238,--none--
51,steplog,50,178,211,--none--
51,steplog,60,178,208,--none--
51,steplog,70,193,208,--none--
51,steplog,75,208,208,status:optimal
51,timelog,75,0.35041379928588867,0,--none--
52,steplog,10,231,295,--none--
52,steplog,20,231,292,--none--
52,steplog,30,255,275,--none--
52,steplog,35,274,274,status:optimal
52,timelog,35,0.22316193580627441,0,--none--
53,steplog,10,282,330,--none--
53,steplog,20,306,330,--none--
53,steplog,30,321,322,--none--
53,steplog,32,322,322,status:optimal
53,timelog,32,0.16757965087890625,0,--none--
54,steplog,10,191,455,--none--
54,steplog,20,191,455,--none--
54,steplog,30,287,355,--none--
54,steplog,40,309,330,--none--
54,steplog,50,309,330,--none--
54,steplog,59,330,330,status:optimal
54,timelog,59,0.32163143157958984,0,--none--
55,steplog,10,329,330,--none--
55,steplog,19,330,330,status:optimal
55,timelog,19,0.10585165023803711,0,--none--
56,steplog,10,231,383,--none--
56,steplog,20,231,371,--none--
56,steplog,30,278,330,--none--
56,steplog,40,297,325,--none--
56,steplog,50,321,321,--none--
56,steplog,51,321,321,status:optimal
56,timelog,51,0.3682694435119629,0,--none--
57,steplog,10,102,121,--none--
57,steplog,20,115,121,--none--
57,steplog,28,119,119,status:optimal
57,timelog,28,0.16360998153686523,0,--none--
58,steplog,10,177,185,--none--
58,steplog,17,184,184,status:optimal
58,timelog,17,0.08906960487365723,0,--none--
59,steplog,10,79,127,--none--
59,steplog,20,79,125,--none--
59,steplog,30,95,111,--none--
59,steplog,40,95,108,--none--
59,steplog,50,101,107,--none--
59,steplog,60,107,107,--none--
59,steplog,60,107,107,status:optimal
59,timelog,60,0.4195990562438965,0,--none--
5,steplog,10,158,285,--none--
5,steplog,20,158,277,--none--
5,steplog,30,158,277,--none--
5,steplog,40,203,259,--none--
5,steplog,50,223,259,--none--
5,steplog,60,237,253,--none--
5,steplog,68,253,253,status:optimal
5,timelog,68,0.3693881034851074,0,--none--
60,steplog,10,296,404,--none--
60,steplog,20,296,392,--none--
60,steplog,30,332,392,--none--
60,steplog,40,332,388,--none--
60,steplog,50,350,388,--none--
60,steplog,60,384,384,--none--
60,steplog,62,384,384,status:optimal
60,timelog,62,0.2883892059326172,0,--none--
61,steplog,10,161,204,--none--
61,steplog,20,195,204,--none--
61,steplog,28,203,203,status:optimal
61,timelog,28,0.1432027816772461,0,--none--
62,steplog,10,201,353,--none--
62,steplog,20,240,289,--none--
62,steplog,30,240,279,--none--
62,steplog,40,240,279,--none--
62,steplog,50,250,279,--none--
62,steplog,60,271,275,--none--
62,steplog,66,275,275,status:optimal
62,timelog,66,0.31952857971191406,0,--none--
63,steplog,10,273,374,--none--
63,steplog,20,273,367,--none--
63,steplog,30,273,365,--none--
63,steplog,40,273,365,--none--
63,steplog,50,316,354,--none--
63,steplog,60,316,354,--none--
63,steplog,70,328,347,--none--
63,steplog,80,342,345,--none--
63,steplog,87,345,345,status:optimal
63,timelog,87,0.4369816780090332,0,--none--
64,steplog,10,118,190,--none--
64,steplog,20,118,190,--none--
64,steplog,30,118,188,--none--
64,steplog,40,133,188,--none--
64,steplog,50,151,184,--none--
64,steplog,60,172,182,--none--
