n, instance, PREORDER, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, int_cov2col_gsifts, int_col2cov_gsifts, plain_MIP_vars, plain_MIP_constrs, exp_time
17, 3-8, True, 78, 359, 1405, 2697, 2248, 965, 965, 17, 21, 8.3
17, 3-8, False, 78, 359, 2122, 2410, 2684, 965, 965, 17, 21, 16.6
17, 3-9, True, 39, 213, 763, 800, 765, 366, 366, 17, 26, 4.6
17, 3-9, False, 39, 213, 546, 2278, 689, 366, 366, 17, 26, 9.3
17, 3-10, True, 127, 196, 1296, 1661, 1342, 747, 747, 17, 19, 6.2
17, 3-10, False, 127, 196, 1376, 3240, 1242, 747, 747, 17, 19, 12.9
17, 3-11, True, 53, 256, 642, 635, 645, 336, 336, 17, 24, 6.7
17, 3-11, False, 53, 256, 807, 1688, 612, 336, 336, 17, 24, 13.6
17, 3-12, True, 30, 160, 520, 716, 392, 239, 239, 17, 23, 4.6
17, 3-12, False, 30, 160, 473, 3105, 309, 239, 239, 17, 23, 9.9
17, 3-13, True, 42, 243, 520, 629, 546, 370, 370, 17, 24, 5.7
17, 3-13, False, 42, 243, 632, 3410, 529, 370, 370, 17, 24, 12.1
17, 3-14, True, 70, 292, 818, 927, 749, 429, 429, 17, 19, 6.7
17, 3-14, False, 70, 292, 836, 2221, 749, 429, 429, 17, 19, 13.8
17, 3-15, True, 58, 200, 824, 779, 843, 561, 561, 17, 24, 5.5
17, 3-15, False, 58, 200, 1154, 3751, 820, 561, 561, 17, 24, 11.4
17, 3-16, True, 48, 353, 1215, 1194, 1220, 705, 705, 17, 26, 7.2
17, 3-16, False, 48, 353, 1648, 3586, 1213, 705, 705, 17, 26, 15.0
17, 3-17, True, 44, 219, 1057, 1980, 1049, 402, 402, 17, 26, 7.2
17, 3-17, False, 44, 219, 1156, 5077, 817, 402, 402, 17, 26, 14.9
17, 3-18, True, 51, 280, 997, 1056, 996, 692, 692, 17, 24, 6.7
17, 3-18, False, 51, 280, 1075, 2388, 988, 692, 692, 17, 24, 13.6
17, 3-19, True, 52, 298, 1089, 939, 1091, 580, 580, 17, 25, 7.1
17, 3-19, False, 52, 298, 1063, 2684, 1091, 580, 580, 17, 25, 14.8
17, 3-20, True, 95, 156, 942, 779, 1036, 643, 643, 17, 19, 5.4
17, 3-20, False, 95, 156, 922, 1562, 1028, 643, 643, 17, 19, 10.8
17, 3-21, True, 41, 247, 696, 635, 711, 382, 382, 17, 22, 6.7
17, 3-21, False, 41, 247, 843, 3740, 692, 382, 382, 17, 22, 14.0
17, 3-22, True, 123, 221, 726, 1892, 754, 561, 561, 17, 20, 6.6
17, 3-22, False, 123, 221, 729, 3645, 722, 561, 561, 17, 20, 13.5
17, 3-23, True, 93, 303, 1341, 1136, 1487, 891, 891, 17, 24, 6.8
17, 3-23, False, 93, 303, 1133, 2817, 1484, 891, 891, 17, 24, 14.0
17, 3-24, True, 70, 241, 900, 778, 942, 557, 557, 17, 21, 6.8
17, 3-24, False, 70, 241, 972, 2712, 875, 557, 557, 17, 21, 13.7
17, 3-25, True, 70, 276, 752, 2921, 752, 479, 479, 17, 20, 7.5
17, 3-25, False, 70, 276, 663, 5450, 749, 479, 479, 17, 20, 15.5
17, 3-26, True, 41, 153, 495, 748, 587, 292, 292, 17, 26, 5.8
17, 3-26, False, 41, 153, 565, 3331, 583, 292, 292, 17, 26, 11.9
17, 3-27, True, 53, 221, 854, 783, 986, 520, 520, 17, 23, 5.7
17, 3-27, False, 53, 221, 719, 4825, 937, 520, 520, 17, 23, 12.0
17, 3-28, True, 64, 518, 1809, 1676, 1809, 1018, 1018, 17, 24, 8.4
17, 3-28, False, 64, 518, 1522, 2469, 1804, 1018, 1018, 17, 24, 17.4
17, 3-29, True, 140, 430, 1594, 2487, 1631, 1082, 1082, 17, 21, 9.1
17, 3-29, False, 140, 430, 1568, 2754, 1606, 1082, 1082, 17, 21, 18.3
17, 3-30, True, 37, 304, 1035, 1119, 1039, 561, 561, 17, 26, 7.3
17, 3-30, False, 37, 304, 985, 4148, 1039, 561, 561, 17, 26, 15.0
17, 3-31, True, 54, 208, 1004, 1377, 1011, 432, 432, 17, 22, 7.1
17, 3-31, False, 54, 208, 996, 3025, 1013, 432, 432, 17, 22, 14.6
17, 3-32, True, 116, 299, 1740, 2128, 1997, 855, 855, 17, 20, 6.9
17, 3-32, False, 116, 299, 1288, 1842, 1529, 855, 855, 17, 20, 14.0
17, 3-33, True, 58, 324, 802, 2239, 883, 522, 522, 17, 22, 6.7
17, 3-33, False, 58, 324, 1173, 3705, 815, 522, 522, 17, 22, 13.5
17, 3-34, True, 69, 425, 1448, 1468, 1388, 954, 954, 17, 23, 8.0
17, 3-34, False, 69, 425, 1417, 5345, 1388, 954, 954, 17, 23, 16.7
17, 3-35, True, 78, 392, 1709, 2020, 1624, 873, 873, 17, 25, 7.4
17, 3-35, False, 78, 392, 1565, 5007, 1484, 873, 873, 17, 25, 15.5
17, 3-36, True, 45, 346, 749, 1010, 865, 443, 443, 17, 23, 6.9
17, 3-36, False, 45, 346, 1160, 3875, 1061, 443, 443, 17, 23, 14.6
17, 3-37, True, 61, 561, 1592, 1453, 1599, 974, 974, 17, 24, 9.9
17, 3-37, False, 61, 561, 1651, 3424, 1599, 974, 974, 17, 24, 20.4
17, 3-38, True, 107, 323, 1213, 1325, 1551, 990, 990, 17, 21, 7.1
17, 3-38, False, 107, 323, 1352, 1984, 1551, 990, 990, 17, 21, 14.3
17, 3-39, True, 45, 229, 526, 485, 526, 299, 299, 17, 23, 6.8
17, 3-39, False, 45, 229, 580, 3527, 526, 299, 299, 17, 23, 14.3
17, 3-40, True, 68, 223, 561, 1081, 551, 344, 344, 17, 20, 5.9
17, 3-40, False, 68, 223, 780, 2866, 553, 344, 344, 17, 20, 12.1
17, 3-41, True, 56, 170, 675, 1009, 675, 297, 297, 17, 19, 5.7
17, 3-41, False, 56, 170, 700, 2340, 675, 297, 297, 17, 19, 11.8
17, 3-42, True, 70, 274, 1288, 1561, 1410, 676, 676, 17, 22, 6.7
17, 3-42, False, 70, 274, 1012, 3345, 1410, 676, 676, 17, 22, 13.6
17, 3-43, True, 92, 264, 1608, 1495, 1608, 891, 891, 17, 20, 7.0
17, 3-43, False, 92, 264, 1484, 4101, 1608, 891, 891, 17, 20, 14.4
17, 3-44, True, 76, 230, 871, 1214, 862, 568, 568, 17, 24, 5.8
17, 3-44, False, 76, 230, 840, 7275, 816, 568, 568, 17, 24, 12.4
17, 3-45, True, 105, 256, 1355, 1258, 1698, 738, 738, 17, 21, 6.0
17, 3-45, False, 105, 256, 1565, 4096, 1698, 738, 738, 17, 21, 12.6
17, 3-46, True, 63, 262, 1104, 1186, 1042, 643, 643, 17, 22, 7.0
17, 3-46, False, 63, 262, 1008, 6630, 1042, 643, 643, 17, 22, 14.4
17, 3-47, True, 56, 346, 1400, 1131, 1401, 668, 668, 17, 23, 8.1
17, 3-47, False, 56, 346, 1464, 5050, 1401, 668, 668, 17, 23, 16.9
17, 3-48, True, 123, 274, 1188, 1176, 1477, 1102, 1102, 17, 20, 6.4
17, 3-48, False, 123, 274, 1653, 2472, 1497, 1102, 1102, 17, 20, 13.4
17, 3-49, True, 71, 159, 598, 759, 823, 346, 346, 17, 23, 4.6
17, 3-49, False, 71, 159, 780, 1710, 900, 346, 346, 17, 23, 9.1
17, 4-0, True, 56, 172, 661, 1323, 598, 399, 399, 17, 21, 4.2
17, 4-0, False, 56, 172, 706, 4754, 542, 399, 399, 17, 21, 8.8
17, 4-1, True, 61, 181, 429, 412, 429, 363, 363, 17, 23, 5.1
17, 4-1, False, 61, 181, 660, 4955, 428, 363, 363, 17, 23, 11.3
17, 4-2, True, 68, 354, 1351, 1179, 1559, 756, 756, 17, 23, 7.4
17, 4-2, False, 69, 352, 1154, 1481, 1496, 753, 753, 17, 23, 14.9
17, 4-3, True, 83, 265, 1274, 1453, 1274, 682, 682, 17, 20, 5.8
17, 4-3, False, 83, 265, 1297, 2257, 1213, 682, 682, 17, 20, 11.7
17, 4-4, True, 76, 238, 782, 971, 780, 629, 629, 17, 22, 5.8
17, 4-4, False, 76, 238, 1112, 3981, 780, 629, 629, 17, 22, 12.3
17, 4-5, True, 154, 597, 2732, 2244, 2907, 1671, 1671, 17, 19, 10.3
17, 4-5, False, 154, 597, 2540, 5393, 2461, 1671, 1671, 17, 19, 21.0
17, 4-6, True, 65, 244, 795, 903, 751, 482, 482, 17, 26, 5.6
17, 4-6, False, 65, 244, 812, 1739, 751, 482, 482, 17, 26, 11.3
17, 4-7, True, 92, 206, 538, 1640, 542, 430, 430, 17, 20, 5.0
17, 4-7, False, 92, 206, 782, 5336, 542, 430, 430, 17, 20, 11.0
17, 4-8, True, 51, 226, 848, 2042, 919, 455, 455, 17, 23, 6.6
17, 4-8, False, 51, 226, 809, 2837, 810, 455, 455, 17, 23, 13.7
17, 4-9, True, 58, 479, 1368, 1243, 1368, 792, 792, 17, 25, 9.8
17, 4-9, False, 58, 479, 1088, 4687, 1333, 792, 792, 17, 25, 20.2
