instance,inversions,reducedA,reducedB,gen_trial
239,48,True,True,1
240,72,True,True,1
241,60,True,True,1
242,61,True,True,1
243,58,True,True,1
244,32,True,True,1
245,45,True,True,1
246,55,True,True,1
247,48,True,True,1
248,47,True,True,1
249,52,True,True,1
250,26,True,True,1
251,40,True,True,1
252,52,True,True,1
253,67,True,True,1
254,63,True,True,1
255,68,True,True,1
256,51,True,True,1
257,58,True,True,1
258,59,True,True,1
259,52,True,True,1
260,62,True,True,1
261,40,True,True,1
262,59,True,True,1
263,53,True,True,1
264,45,True,True,1
265,54,True,True,1
266,44,True,True,1
267,55,True,True,1
268,73,True,True,1
269,60,True,True,1
270,58,True,True,1
271,42,True,True,1
272,65,True,True,1
273,59,True,True,1
274,65,True,True,1
275,55,True,True,1
276,44,True,True,1
277,41,True,True,1
278,63,True,True,1
279,64,True,True,1
280,70,True,True,1
281,35,True,True,1
282,65,True,True,1
283,59,True,True,1
284,51,True,True,1
285,42,True,True,1
286,70,True,True,1
287,44,True,True,1
288,40,True,True,1
289,40,True,True,1
290,66,True,True,1
291,54,True,True,1
292,54,True,True,1
293,57,True,True,1
294,43,True,True,1
295,46,True,True,1
296,55,True,True,1
297,61,True,True,1
298,60,True,True,1
299,61,True,True,1
300,34,True,True,1
301,52,True,True,1
302,50,True,True,1
303,70,True,True,1
304,60,True,True,1
305,41,True,True,1
306,47,True,True,1
307,46,True,True,1
308,65,True,True,1
309,46,True,True,1
310,73,True,True,1
311,50,True,True,1
312,49,True,True,1
313,60,True,True,1
314,50,True,True,1
315,66,True,True,1
316,38,True,True,1
317,40,True,True,1
318,37,True,True,1
319,53,True,True,1
320,54,True,True,1
321,51,True,True,1
322,40,True,True,1
323,47,True,True,1
324,37,True,True,1
325,65,True,True,1
326,55,True,True,1
327,43,True,True,1
328,63,True,True,1
329,55,True,True,1
330,46,True,True,1
331,70,True,True,1
332,54,True,True,1
333,33,True,True,1
334,48,True,True,1
335,59,True,True,1
336,53,True,True,1
337,43,True,True,1
338,64,True,True,1
339,44,True,True,1
340,63,True,True,1
341,45,True,True,1
342,58,True,True,1
343,51,True,True,1
344,55,True,True,1
345,35,True,True,1
346,64,True,True,1
347,66,True,True,1
348,41,True,True,1
349,58,True,True,1
350,71,True,True,1
351,61,True,True,1
352,38,True,True,1
353,37,True,True,1
354,47,True,True,1
355,49,True,True,1
356,41,True,True,1
357,71,True,True,1
358,57,True,True,1
359,50,True,True,1
360,40,True,True,1
361,41,True,True,1
362,45,True,True,1
363,44,True,True,1
364,50,True,True,1
365,34,True,True,1
366,54,True,True,1
367,50,True,True,1
368,58,True,True,1
369,74,True,True,1
370,49,True,True,1
371,27,True,True,1
372,65,True,True,1
373,45,True,True,1
374,38,True,True,1
375,54,True,True,1
376,55,True,True,1
377,62,True,True,1
378,50,True,True,1
379,48,True,True,1
380,39,True,True,1
381,53,True,True,1
382,60,True,True,1
383,57,True,True,1
384,63,True,True,1
385,56,True,True,1
386,43,True,True,1
387,37,True,True,1
388,49,True,True,1
389,41,True,True,1
390,51,True,True,1
391,43,True,True,1
392,53,True,True,1
393,38,True,True,1
394,41,True,True,1
395,59,True,True,1
396,53,True,True,1
397,47,True,True,1
398,33,True,True,1
399,74,True,True,1
400,45,True,True,1
401,49,True,True,1
402,62,True,True,1
403,55,True,True,1
404,54,True,True,1
405,54,True,True,1
406,54,True,True,1
407,48,True,True,1
408,70,True,True,1
409,48,True,True,1
410,59,True,True,1
411,41,True,True,1
412,50,True,True,1
413,57,True,True,1
414,43,True,True,1
415,21,True,True,1
416,61,True,True,1
417,47,True,True,1
418,52,True,True,1
419,69,True,True,1
420,71,True,True,1
421,77,True,True,1
422,38,True,True,1
423,68,True,True,1
424,62,True,True,1
425,37,True,True,1
426,44,True,True,1
427,52,True,True,1
428,67,True,True,1
429,53,True,True,1
430,53,True,True,1
431,62,True,True,1
432,64,True,True,1
433,49,True,True,1
434,50,True,True,1
435,46,True,True,1
436,63,True,True,1
437,53,True,True,1
438,52,True,True,1
439,47,True,True,1
440,49,True,True,1
441,53,True,True,1
442,51,True,True,1
443,49,True,True,1
444,60,True,True,1
445,44,True,True,1
446,64,True,True,1
447,69,True,True,1
448,60,True,True,1
449,54,True,True,1
450,50,True,True,1
451,63,True,True,1
452,27,True,True,1
453,50,True,True,1
454,63,True,True,1
455,51,True,True,1
456,58,True,True,1
457,41,True,True,1
458,53,True,True,1
459,56,True,True,1
460,43,True,True,1
461,59,True,True,1
462,54,True,True,1
463,47,True,True,1
464,67,True,True,1
465,53,True,True,1
466,53,True,True,1
467,41,True,True,1
468,47,True,True,1
469,39,True,True,1
470,60,True,True,1
471,58,True,True,1
472,60,True,True,1
473,60,True,True,1
474,40,True,True,1
475,37,True,True,1
476,60,True,True,1
477,59,True,True,1
478,32,True,True,1
479,47,True,True,1
480,63,True,True,1
481,49,True,True,1
482,57,True,True,1
483,32,True,True,1
484,51,True,True,1
485,62,True,True,1
486,56,True,True,1
487,38,True,True,1
488,50,True,True,1
489,52,True,True,1
490,58,True,True,1
491,48,True,True,1
492,71,True,True,1
493,56,True,True,1
494,64,True,True,1
495,54,True,True,1
496,60,True,True,1
497,47,True,True,1
498,38,True,True,1
499,60,True,True,1
500,47,True,True,1
501,65,True,True,1
502,68,True,True,1
503,53,True,True,1
504,47,True,True,1
505,49,True,True,1
506,46,True,True,1
507,67,True,True,1
508,51,True,True,1
509,49,True,True,1
510,47,True,True,1
511,59,True,True,1
512,54,True,True,1
513,54,True,True,1
514,58,True,True,1
515,63,True,True,1
516,58,True,True,1
517,44,True,True,1
518,62,True,True,1
519,36,True,True,1
520,38,True,True,1
521,59,True,True,1
522,46,True,True,1
523,36,True,True,1
524,50,True,True,1
525,35,True,True,1
526,59,True,True,1
527,75,True,True,1
528,53,True,True,1
529,59,True,True,1
530,60,True,True,1
531,53,True,True,1
532,42,True,True,1
533,39,True,True,1
534,61,True,True,1
535,64,True,True,1
536,56,True,True,1
537,56,True,True,1
538,54,True,True,1
539,43,True,True,1
540,52,True,True,1
541,45,True,True,1
542,60,True,True,1
543,72,True,True,1
544,69,True,True,1
545,37,True,True,1
546,54,True,True,1
547,47,True,True,1
548,69,True,True,1
549,78,True,True,1
550,68,True,True,1
551,57,True,True,1
552,58,True,True,1
553,48,True,True,1
554,50,True,True,1
555,55,True,True,1
556,57,True,True,1
557,73,True,True,1
558,48,True,True,1
559,49,True,True,1
560,51,True,True,1
561,58,True,True,1
562,50,True,True,1
563,54,True,True,1
564,38,True,True,1
565,43,True,True,1
566,33,True,True,1
567,43,True,True,1
568,51,True,True,1
569,51,True,True,1
570,54,True,True,1
571,47,True,True,1
572,52,True,True,1
573,29,True,True,1
574,43,True,True,1
575,40,True,True,1
576,42,True,True,1
577,52,True,True,1
578,50,True,True,1
579,50,True,True,1
580,42,True,True,1
581,60,True,True,1
582,69,True,True,1
583,51,True,True,1
584,52,True,True,1
585,66,True,True,1
586,59,True,True,1
587,49,True,True,1
588,60,True,True,1
589,52,True,True,1
590,46,True,True,1
591,51,True,True,1
592,74,True,True,1
593,55,True,True,1
594,68,True,True,1
595,49,True,True,1
596,51,True,True,1
597,56,True,True,1
598,62,True,True,1
599,49,True,True,1
600,39,True,True,1
601,49,True,True,1
602,49,True,True,1
603,66,True,True,1
604,56,True,True,1
605,50,True,True,1
606,75,True,True,1
607,67,True,True,1
608,60,True,True,1
609,70,True,True,1
610,41,True,True,1
611,32,True,True,1
612,50,True,True,1
613,59,True,True,1
614,50,True,True,1
615,52,True,True,1
616,58,True,True,1
617,51,True,True,1
618,74,True,True,1
619,52,True,True,1
620,44,True,True,1
621,58,True,True,1
622,59,True,True,1
623,61,True,True,1
624,46,True,True,1
625,61,True,True,1
626,43,True,True,1
627,68,True,True,1
628,57,True,True,1
629,61,True,True,1
630,44,True,True,1
631,30,True,True,1
632,55,True,True,1
633,55,True,True,1
634,48,True,True,1
635,47,True,True,1
636,25,True,True,1
637,60,True,True,1
638,63,True,True,1
639,60,True,True,1
640,52,True,True,1
641,53,True,True,1
642,42,True,True,1
643,50,True,True,1
644,48,True,True,1
645,38,True,True,1
646,35,True,True,1
647,53,True,True,1
648,53,True,True,1
649,65,True,True,1
650,59,True,True,1
651,55,True,True,1
652,33,True,True,1
653,56,True,True,1
654,56,True,True,1
