N,instance,num_type,value,comment
20,1510,orig_gsifts1p_obj,4231,--none--
16,1152,simpl_opt_status,0,optimal
16,1152,orig_simpl_time,0.13054633140563965,--none--
16,1152,orig_simpl_obj,1008,--none--
16,1152,gsifts_status,aligned,--none--
16,1152,orig_gsifts1p_time,0.8393163681030273,--none--
16,1152,orig_gsifts1p_obj,584,--none--
5,28,simpl_opt_status,0,optimal
5,28,orig_simpl_time,0.0035123825073242188,--none--
5,28,orig_simpl_obj,34,--none--
5,28,gsifts_status,aligned,--none--
5,28,orig_gsifts1p_time,0.008287191390991211,--none--
5,28,orig_gsifts1p_obj,33,--none--
16,1138,simpl_opt_status,0,optimal
16,1138,orig_simpl_time,0.092803955078125,--none--
16,1138,orig_simpl_obj,1077,--none--
16,1138,gsifts_status,aligned,--none--
16,1138,orig_gsifts1p_time,1.2054917812347412,--none--
16,1138,orig_gsifts1p_obj,1102,--none--
24,1987,simpl_opt_status,0,optimal
24,1987,orig_simpl_time,0.6534078121185303,--none--
24,1987,orig_simpl_obj,24912,--none--
24,1987,gsifts_status,aligned,--none--
24,1987,orig_gsifts1p_time,659.8025262355804,--none--
24,1987,orig_gsifts1p_obj,86211,--none--
24,1965,simpl_opt_status,0,optimal
24,1965,orig_simpl_time,0.5191516876220703,--none--
24,1965,orig_simpl_obj,8477,--none--
24,1965,gsifts_status,aligned,--none--
24,1965,orig_gsifts1p_time,342.6597454547882,--none--
24,1965,orig_gsifts1p_obj,4607,--none--
22,1754,simpl_opt_status,0,optimal
22,1754,orig_simpl_time,0.39697790145874023,--none--
22,1754,orig_simpl_obj,13863,--none--
22,1754,gsifts_status,aligned,--none--
22,1754,orig_gsifts1p_time,119.10379457473755,--none--
22,1754,orig_gsifts1p_obj,21117,--none--
9,441,simpl_opt_status,0,optimal
9,441,orig_simpl_time,0.018332719802856445,--none--
9,441,orig_simpl_obj,153,--none--
9,441,gsifts_status,aligned,--none--
9,441,orig_gsifts1p_time,0.055365562438964844,--none--
9,441,orig_gsifts1p_obj,136,--none--
5,13,simpl_opt_status,0,optimal
5,13,orig_simpl_time,0.004518747329711914,--none--
5,13,orig_simpl_obj,19,--none--
5,13,gsifts_status,aligned,--none--
5,13,orig_gsifts1p_time,0.005585193634033203,--none--
5,13,orig_gsifts1p_obj,19,--none--
15,1001,simpl_opt_status,0,optimal
15,1001,orig_simpl_time,0.19970059394836426,--none--
15,1001,orig_simpl_obj,341,--none--
15,1001,gsifts_status,aligned,--none--
15,1001,orig_gsifts1p_time,0.2210845947265625,--none--
15,1001,orig_gsifts1p_obj,246,--none--
16,1130,simpl_opt_status,0,optimal
16,1130,orig_simpl_time,0.1061861515045166,--none--
16,1130,orig_simpl_obj,2718,--none--
16,1130,gsifts_status,aligned,--none--
16,1130,orig_gsifts1p_time,3.2087931632995605,--none--
16,1130,orig_gsifts1p_obj,2718,--none--
16,1164,simpl_opt_status,0,optimal
16,1164,orig_simpl_time,0.10445570945739746,--none--
16,1164,orig_simpl_obj,455,--none--
16,1164,gsifts_status,aligned,--none--
16,1164,orig_gsifts1p_time,0.5492796897888184,--none--
16,1164,orig_gsifts1p_obj,280,--none--
7,237,simpl_opt_status,0,optimal
7,237,orig_simpl_time,0.011948347091674805,--none--
7,237,orig_simpl_obj,37,--none--
7,237,gsifts_status,aligned,--none--
7,237,orig_gsifts1p_time,0.01276540756225586,--none--
7,237,orig_gsifts1p_obj,34,--none--
12,787,simpl_opt_status,0,optimal
12,787,orig_simpl_time,0.04121041297912598,--none--
12,787,orig_simpl_obj,351,--none--
12,787,gsifts_status,aligned,--none--
12,787,orig_gsifts1p_time,0.18900537490844727,--none--
12,787,orig_gsifts1p_obj,266,--none--
20,1507,simpl_opt_status,0,optimal
20,1507,orig_simpl_time,0.26026248931884766,--none--
20,1507,orig_simpl_obj,4061,--none--
20,1507,gsifts_status,aligned,--none--
20,1507,orig_gsifts1p_time,13.215859174728394,--none--
20,1507,orig_gsifts1p_obj,6977,--none--
7,210,simpl_opt_status,0,optimal
7,210,orig_simpl_time,0.009189605712890625,--none--
7,210,orig_simpl_obj,47,--none--
7,210,gsifts_status,aligned,--none--
7,210,orig_gsifts1p_time,0.015528440475463867,--none--
7,210,orig_gsifts1p_obj,38,--none--
16,1168,simpl_opt_status,0,optimal
16,1168,orig_simpl_time,0.23864197731018066,--none--
16,1168,orig_simpl_obj,1127,--none--
16,1168,gsifts_status,aligned,--none--
16,1168,orig_gsifts1p_time,1.636777400970459,--none--
16,1168,orig_gsifts1p_obj,1068,--none--
12,790,simpl_opt_status,0,optimal
12,790,orig_simpl_time,0.1043400764465332,--none--
12,790,orig_simpl_obj,184,--none--
12,790,gsifts_status,aligned,--none--
12,790,orig_gsifts1p_time,0.09350109100341797,--none--
12,790,orig_gsifts1p_obj,152,--none--
9,421,simpl_opt_status,0,optimal
9,421,orig_simpl_time,0.024091720581054688,--none--
9,421,orig_simpl_obj,102,--none--
9,421,gsifts_status,aligned,--none--
9,421,orig_gsifts1p_time,0.034948110580444336,--none--
9,421,orig_gsifts1p_obj,78,--none--
21,1680,simpl_opt_status,0,optimal
21,1680,orig_simpl_time,0.2859480381011963,--none--
21,1680,orig_simpl_obj,2891,--none--
21,1680,gsifts_status,aligned,--none--
21,1680,orig_gsifts1p_time,20.094117641448975,--none--
21,1680,orig_gsifts1p_obj,5245,--none--
13,844,simpl_opt_status,0,optimal
13,844,orig_simpl_time,0.05005836486816406,--none--
13,844,orig_simpl_obj,288,--none--
13,844,gsifts_status,aligned,--none--
13,844,orig_gsifts1p_time,0.16793513298034668,--none--
13,844,orig_gsifts1p_obj,237,--none--
25,2053,simpl_opt_status,0,optimal
25,2053,orig_simpl_time,0.6835775375366211,--none--
25,2053,orig_simpl_obj,18642,--none--
25,2053,gsifts_status,aligned,--none--
25,2053,orig_gsifts1p_time,557.3208849430084,--none--
25,2053,orig_gsifts1p_obj,77508,--none--
7,293,simpl_opt_status,0,optimal
7,293,orig_simpl_time,0.010765790939331055,--none--
7,293,orig_simpl_obj,56,--none--
7,293,gsifts_status,aligned,--none--
7,293,orig_gsifts1p_time,0.017392396926879883,--none--
7,293,orig_gsifts1p_obj,54,--none--
18,1333,simpl_opt_status,0,optimal
18,1333,orig_simpl_time,0.18245720863342285,--none--
18,1333,orig_simpl_obj,1639,--none--
18,1333,gsifts_status,aligned,--none--
18,1333,orig_gsifts1p_time,3.6862876415252686,--none--
18,1333,orig_gsifts1p_obj,1858,--none--
22,1761,simpl_opt_status,0,optimal
22,1761,orig_simpl_time,0.5476713180541992,--none--
22,1761,orig_simpl_obj,15656,--none--
22,1761,gsifts_status,aligned,--none--
22,1761,orig_gsifts1p_time,74.99678945541382,--none--
22,1761,orig_gsifts1p_obj,20037,--none--
11,640,simpl_opt_status,0,optimal
11,640,orig_simpl_time,0.0377655029296875,--none--
11,640,orig_simpl_obj,202,--none--
11,640,gsifts_status,aligned,--none--
11,640,orig_gsifts1p_time,0.11017727851867676,--none--
11,640,orig_gsifts1p_obj,175,--none--
13,854,simpl_opt_status,0,optimal
13,854,orig_simpl_time,0.0879518985748291,--none--
13,854,orig_simpl_obj,573,--none--
13,854,gsifts_status,aligned,--none--
13,854,orig_gsifts1p_time,0.39094972610473633,--none--
13,854,orig_gsifts1p_obj,619,--none--
16,1141,simpl_opt_status,0,optimal
16,1141,orig_simpl_time,0.0878000259399414,--none--
16,1141,orig_simpl_obj,2006,--none--
16,1141,gsifts_status,aligned,--none--
16,1141,orig_gsifts1p_time,2.114863395690918,--none--
16,1141,orig_gsifts1p_obj,2001,--none--
22,1753,simpl_opt_status,0,optimal
22,1753,orig_simpl_time,0.30317115783691406,--none--
22,1753,orig_simpl_obj,4742,--none--
22,1753,gsifts_status,aligned,--none--
22,1753,orig_gsifts1p_time,9.032934665679932,--none--
22,1753,orig_gsifts1p_obj,2231,--none--
12,720,simpl_opt_status,0,optimal
12,720,orig_simpl_time,0.03310203552246094,--none--
12,720,orig_simpl_obj,301,--none--
12,720,gsifts_status,aligned,--none--
12,720,orig_gsifts1p_time,0.20832180976867676,--none--
12,720,orig_gsifts1p_obj,288,--none--
20,1553,simpl_opt_status,0,optimal
20,1553,orig_simpl_time,0.22353506088256836,--none--
20,1553,orig_simpl_obj,3359,--none--
20,1553,gsifts_status,aligned,--none--
20,1553,orig_gsifts1p_time,11.11870789527893,--none--
20,1553,orig_gsifts1p_obj,3679,--none--
14,932,simpl_opt_status,0,optimal
14,932,orig_simpl_time,0.12382054328918457,--none--
14,932,orig_simpl_obj,428,--none--
14,932,gsifts_status,aligned,--none--
14,932,orig_gsifts1p_time,0.32257866859436035,--none--
14,932,orig_gsifts1p_obj,401,--none--
23,1868,simpl_opt_status,0,optimal
23,1868,orig_simpl_time,0.6701319217681885,--none--
23,1868,orig_simpl_obj,29328,--none--
23,1868,gsifts_status,aligned,--none--
23,1868,orig_gsifts1p_time,63.764915227890015,--none--
23,1868,orig_gsifts1p_obj,16398,--none--
18,1352,simpl_opt_status,0,optimal
18,1352,orig_simpl_time,0.32370567321777344,--none--
18,1352,orig_simpl_obj,2120,--none--
18,1352,gsifts_status,aligned,--none--
18,1352,orig_gsifts1p_time,9.646431922912598,--none--
18,1352,orig_gsifts1p_obj,1099,--none--
23,1809,simpl_opt_status,0,optimal
23,1809,orig_simpl_time,0.9237737655639648,--none--
23,1809,orig_simpl_obj,13525,--none--
23,1809,gsifts_status,aligned,--none--
