instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
-1,legend,orig_5random_nat,Best of 5 random (natural var order)
-1,legend,orig_5random_rnd,Best of 5 random (random var order)
-1,legend,orig_gsifts1p_nat,Greedy BDD sifts (natural var order)
-1,legend,orig_gsifts1p_ctl,Greedy BDD sifts (control experiment)
-1,legend,orig_5random_ctl,Best of 5 random (control experiment)
-1,legend,orig_minAB_ctl,Best of A and B (control experiment)
-1,legend,orig_simpl_ctl,Simplified problem (control experiment)
1-2,orig_5random_ctl_obj,12869,--none--
1-2,orig_gsifts1p_ctl_obj,4332,--none--
1-3,orig_simpl_nat_obj,126,--none--
1-3,orig_minAB_nat_obj,125,--none--
1-3,orig_5random_nat_obj,151,--none--
1-3,orig_gsifts1p_nat_obj,125,--none--
1-3,orig_simpl_rnd_obj,150,--none--
1-3,orig_minAB_rnd_obj,156,--none--
1-3,orig_5random_rnd_obj,222,--none--
1-3,orig_gsifts1p_rnd_obj,128,--none--
1-3,orig_simpl_ctl_obj,6025,--none--
1-3,orig_minAB_ctl_obj,7411,--none--
1-3,orig_5random_ctl_obj,10769,--none--
1-3,orig_gsifts1p_ctl_obj,4564,--none--
1-4,orig_simpl_nat_obj,185,--none--
1-4,orig_minAB_nat_obj,202,--none--
1-4,orig_5random_nat_obj,334,--none--
1-4,orig_gsifts1p_nat_obj,126,--none--
1-4,orig_simpl_rnd_obj,301,--none--
1-4,orig_minAB_rnd_obj,160,--none--
1-4,orig_5random_rnd_obj,257,--none--
1-4,orig_gsifts1p_rnd_obj,125,--none--
1-4,orig_simpl_ctl_obj,10413,--none--
1-4,orig_minAB_ctl_obj,14752,--none--
1-4,orig_5random_ctl_obj,15188,--none--
1-4,orig_gsifts1p_ctl_obj,10175,--none--
1-5,orig_simpl_nat_obj,400,--none--
1-5,orig_minAB_nat_obj,335,--none--
1-5,orig_5random_nat_obj,469,--none--
1-5,orig_gsifts1p_nat_obj,284,--none--
1-5,orig_simpl_rnd_obj,465,--none--
1-5,orig_minAB_rnd_obj,274,--none--
1-5,orig_5random_rnd_obj,360,--none--
1-5,orig_gsifts1p_rnd_obj,279,--none--
1-5,orig_simpl_ctl_obj,14419,--none--
1-5,orig_minAB_ctl_obj,12919,--none--
1-5,orig_5random_ctl_obj,15412,--none--
1-5,orig_gsifts1p_ctl_obj,14204,--none--
1-6,orig_simpl_nat_obj,133,--none--
1-6,orig_minAB_nat_obj,133,--none--
1-6,orig_5random_nat_obj,162,--none--
1-6,orig_gsifts1p_nat_obj,108,--none--
1-6,orig_simpl_rnd_obj,246,--none--
1-6,orig_minAB_rnd_obj,216,--none--
1-6,orig_5random_rnd_obj,203,--none--
1-6,orig_gsifts1p_rnd_obj,107,--none--
1-6,orig_simpl_ctl_obj,7487,--none--
1-6,orig_minAB_ctl_obj,8622,--none--
1-6,orig_5random_ctl_obj,9823,--none--
1-6,orig_gsifts1p_ctl_obj,7442,--none--
1-7,orig_simpl_nat_obj,449,--none--
1-7,orig_minAB_nat_obj,361,--none--
1-7,orig_5random_nat_obj,494,--none--
1-7,orig_gsifts1p_nat_obj,399,--none--
1-7,orig_simpl_rnd_obj,406,--none--
1-7,orig_minAB_rnd_obj,373,--none--
1-7,orig_5random_rnd_obj,464,--none--
1-7,orig_gsifts1p_rnd_obj,320,--none--
1-7,orig_simpl_ctl_obj,7712,--none--
1-7,orig_minAB_ctl_obj,3522,--none--
1-7,orig_5random_ctl_obj,5906,--none--
1-7,orig_gsifts1p_ctl_obj,4723,--none--
1-8,orig_simpl_nat_obj,53,--none--
1-8,orig_minAB_nat_obj,52,--none--
1-8,orig_5random_nat_obj,57,--none--
1-8,orig_gsifts1p_nat_obj,52,--none--
1-8,orig_simpl_rnd_obj,78,--none--
1-8,orig_minAB_rnd_obj,59,--none--
1-8,orig_5random_rnd_obj,52,--none--
1-8,orig_gsifts1p_rnd_obj,57,--none--
1-8,orig_simpl_ctl_obj,3050,--none--
1-8,orig_minAB_ctl_obj,785,--none--
1-8,orig_5random_ctl_obj,3896,--none--
1-8,orig_gsifts1p_ctl_obj,691,--none--
1-9,orig_simpl_nat_obj,132,--none--
1-9,orig_minAB_nat_obj,125,--none--
1-9,orig_5random_nat_obj,237,--none--
1-9,orig_gsifts1p_nat_obj,116,--none--
1-9,orig_simpl_rnd_obj,332,--none--
1-9,orig_minAB_rnd_obj,271,--none--
1-9,orig_5random_rnd_obj,218,--none--
1-9,orig_gsifts1p_rnd_obj,116,--none--
1-9,orig_simpl_ctl_obj,11108,--none--
1-9,orig_minAB_ctl_obj,11385,--none--
1-9,orig_5random_ctl_obj,13028,--none--
1-9,orig_gsifts1p_ctl_obj,11108,--none--
1-10,orig_simpl_nat_obj,242,--none--
1-10,orig_minAB_nat_obj,239,--none--
1-10,orig_5random_nat_obj,321,--none--
1-10,orig_gsifts1p_nat_obj,272,--none--
1-10,orig_simpl_rnd_obj,355,--none--
1-10,orig_minAB_rnd_obj,285,--none--
1-10,orig_5random_rnd_obj,303,--none--
1-10,orig_gsifts1p_rnd_obj,179,--none--
1-10,orig_simpl_ctl_obj,7230,--none--
1-10,orig_minAB_ctl_obj,4702,--none--
1-10,orig_5random_ctl_obj,11158,--none--
1-10,orig_gsifts1p_ctl_obj,4172,--none--
1-11,orig_simpl_nat_obj,160,--none--
1-11,orig_minAB_nat_obj,156,--none--
1-11,orig_5random_nat_obj,197,--none--
1-11,orig_gsifts1p_nat_obj,143,--none--
1-11,orig_simpl_rnd_obj,168,--none--
1-11,orig_minAB_rnd_obj,173,--none--
1-11,orig_5random_rnd_obj,252,--none--
1-11,orig_gsifts1p_rnd_obj,140,--none--
1-11,orig_simpl_ctl_obj,9658,--none--
1-11,orig_minAB_ctl_obj,3112,--none--
1-11,orig_5random_ctl_obj,9980,--none--
