instance,num_type,step,LB,UB,comment
1037,steplog,30,1687,1691,--none--
1037,steplog,36,1691,1691,status:optimal
1037,timelog,36,0.07318520545959473,0,--none--
1038,steplog,10,634,969,--none--
1038,steplog,20,859,963,--none--
1038,steplog,30,918,963,--none--
1038,steplog,40,944,963,--none--
1038,steplog,50,957,960,--none--
1038,steplog,51,960,960,status:optimal
1038,timelog,51,0.1018061637878418,0,--none--
1039,steplog,10,2685,3054,--none--
1039,steplog,20,2865,3008,--none--
1039,steplog,30,2917,2924,--none--
1039,steplog,34,2924,2924,status:optimal
1039,timelog,34,0.07457327842712402,0,--none--
103,steplog,10,943,1106,--none--
103,steplog,20,1047,1075,--none--
103,steplog,30,1071,1075,--none--
103,steplog,30,1075,1075,status:optimal
103,timelog,30,0.06426453590393066,0,--none--
1040,steplog,10,2070,2340,--none--
1040,steplog,20,2253,2292,--none--
1040,steplog,30,2291,2292,--none--
1040,steplog,30,2292,2292,status:optimal
1040,timelog,30,0.06565642356872559,0,--none--
1041,steplog,10,733,769,--none--
1041,steplog,20,752,759,--none--
1041,steplog,29,759,759,status:optimal
1041,timelog,29,0.05997157096862793,0,--none--
1042,steplog,10,783,995,--none--
1042,steplog,20,847,951,--none--
1042,steplog,30,914,943,--none--
1042,steplog,40,926,938,--none--
1042,steplog,50,932,938,--none--
1042,steplog,60,934,937,--none--
1042,steplog,70,936,937,--none--
1042,steplog,74,937,937,status:optimal
1042,timelog,74,0.15143203735351562,0,--none--
1043,steplog,10,2103,2385,--none--
1043,steplog,20,2257,2302,--none--
1043,steplog,29,2273,2273,status:optimal
1043,timelog,29,0.06647324562072754,0,--none--
1044,steplog,10,1232,1654,--none--
1044,steplog,20,1486,1588,--none--
1044,steplog,30,1523,1564,--none--
1044,steplog,40,1554,1564,--none--
1044,steplog,49,1564,1564,status:optimal
1044,timelog,49,0.1099395751953125,0,--none--
1045,steplog,10,894,1371,--none--
1045,steplog,20,1093,1168,--none--
