run,k,n,method,step,time
test,24,5,CPP,MIP-solve,0.3
test,24,5,CPP,VS-build+solve,1.4
test,24,5,CPP,BDD-align-to-vs,1.3
test,24,5,CPP,intersection-build,0.1
test,24,5,CPP,intersection-SP-solve,0.0
test,24,5,CPP,BDD-align-gsifts,13.5
test,24,5,CPP,intersection-gsifts-build,0.1
test,24,5,CPP,intersection-gsifts-SP-solve,0.0
test,25,5,gen_instance,all, 2.2
test,25,5,plain_MIP,build+solve,0.6
test,25,5,CPP,BDD-build,3.2
test,25,5,CPP,MIP-build,1.3
test,25,5,CPP,MIP-solve,0.6
test,25,5,CPP,VS-build+solve,1.7
test,25,5,CPP,BDD-align-to-vs,1.8
test,25,5,CPP,intersection-build,0.1
test,25,5,CPP,intersection-SP-solve,0.0
test,25,5,CPP,BDD-align-gsifts,11.1
test,25,5,CPP,intersection-gsifts-build,0.1
test,25,5,CPP,intersection-gsifts-SP-solve,0.0
test,26,5,gen_instance,all, 1.7
test,26,5,plain_MIP,build+solve,0.4
test,26,5,CPP,BDD-build,2.3
test,26,5,CPP,MIP-build,1.5
test,26,5,CPP,MIP-solve,0.2
test,26,5,CPP,VS-build+solve,0.5
test,26,5,CPP,BDD-align-to-vs,1.9
test,26,5,CPP,intersection-build,0.2
test,26,5,CPP,intersection-SP-solve,0.1
test,26,5,CPP,BDD-align-gsifts,9.2
test,26,5,CPP,intersection-gsifts-build,0.1
test,26,5,CPP,intersection-gsifts-SP-solve,0.0
test,27,5,gen_instance,all, 1.7
test,27,5,plain_MIP,build+solve,0.5
test,27,5,CPP,BDD-build,3.5
test,27,5,CPP,MIP-build,1.2
test,27,5,CPP,MIP-solve,0.3
test,27,5,CPP,VS-build+solve,0.5
test,27,5,CPP,BDD-align-to-vs,1.2
test,27,5,CPP,intersection-build,0.1
test,27,5,CPP,intersection-SP-solve,0.0
test,27,5,CPP,BDD-align-gsifts,11.2
test,27,5,CPP,intersection-gsifts-build,0.2
test,27,5,CPP,intersection-gsifts-SP-solve,0.0
test,28,5,gen_instance,all, 2.9
test,28,5,plain_MIP,build+solve,0.6
test,28,5,CPP,BDD-build,3.0
test,28,5,CPP,MIP-build,1.7
test,28,5,CPP,MIP-solve,0.5
test,28,5,CPP,VS-build+solve,1.9
test,28,5,CPP,BDD-align-to-vs,1.4
test,28,5,CPP,intersection-build,0.1
test,28,5,CPP,intersection-SP-solve,0.0
test,28,5,CPP,BDD-align-gsifts,12.3
test,28,5,CPP,intersection-gsifts-build,0.1
test,28,5,CPP,intersection-gsifts-SP-solve,0.0
test,29,5,gen_instance,all, 2.0
test,29,5,plain_MIP,build+solve,0.6
test,29,5,CPP,BDD-build,3.5
test,29,5,CPP,MIP-build,1.7
test,29,5,CPP,MIP-solve,0.3
test,29,5,CPP,VS-build+solve,1.7
test,29,5,CPP,BDD-align-to-vs,2.3
test,29,5,CPP,intersection-build,0.1
test,29,5,CPP,intersection-SP-solve,0.0
test,29,5,CPP,BDD-align-gsifts,11.9
test,29,5,CPP,intersection-gsifts-build,0.1
test,29,5,CPP,intersection-gsifts-SP-solve,0.0
test,30,5,gen_instance,all, 3.6
test,30,5,plain_MIP,build+solve,0.4
test,30,5,CPP,BDD-build,3.2
test,30,5,CPP,MIP-build,1.5
test,30,5,CPP,MIP-solve,0.3
test,30,5,CPP,VS-build+solve,1.9
test,30,5,CPP,BDD-align-to-vs,1.7
test,30,5,CPP,intersection-build,0.1
test,30,5,CPP,intersection-SP-solve,0.0
test,30,5,CPP,BDD-align-gsifts,15.8
test,30,5,CPP,intersection-gsifts-build,0.1
test,30,5,CPP,intersection-gsifts-SP-solve,0.0
test,31,5,gen_instance,all, 2.0
test,31,5,plain_MIP,build+solve,0.5
test,31,5,CPP,BDD-build,2.8
test,31,5,CPP,MIP-build,1.3
test,31,5,CPP,MIP-solve,0.3
test,31,5,CPP,VS-build+solve,1.8
