exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, t_novsA, tTDD, size_int_VS, sim_C_VS, size_int_toC, sim_C_toC
143, 10, 10, 0.45, 3, 3, 2, -107.03, -101.97, 0.33, 9.86, 18866, 0.81, 21963, 1.00
144, 10, 10, 0.45, 3, 3, 1, -125.01, -123.20, 0.15, 6.91, 14815, 0.78, 14815, 1.00
145, 10, 10, 0.45, 3, 3, 1, -78.74, -71.97, 0.24, 7.73, 5267, 0.78, 21903, 1.00
146, 10, 10, 0.45, 3, 3, 1, -104.94, -98.83, 0.12, 5.72, 11182, 0.76, 11860, 1.00
147, 10, 10, 0.45, 3, 3, 3, -97.40, -92.71, 0.27, 8.50, 30071, 0.80, 29656, 1.00
148, 10, 10, 0.45, 3, 3, 1, -88.59, -81.48, 0.07, 5.66, 803, 0.56, 5111, 1.00
149, 10, 10, 0.45, 3, 3, 1, -123.96, -119.11, 0.19, 4.81, 3589, 0.78, 11405, 1.00
150, 10, 10, 0.45, 3, 3, 1, -115.00, -103.78, 0.05, 4.83, 2958, 0.67, 4779, 1.00
151, 10, 10, 0.45, 3, 3, 1, -107.91, -92.55, 0.08, 5.64, 2748, 0.71, 8795, 1.00
152, 10, 10, 0.45, 3, 3, 3, -118.81, -101.59, 0.04, 4.50, 4769, 0.90, 4025, 1.00
153, 10, 10, 0.45, 3, 3, 1, -103.88, -99.30, 0.20, 6.48, 14019, 0.80, 20661, 1.00
154, 10, 10, 0.45, 3, 3, 1, -111.80, -106.02, 0.14, 7.07, 1561, 0.64, 9379, 1.00
155, 10, 10, 0.45, 3, 3, 1, -128.07, -122.52, 0.08, 5.45, 9957, 0.65, 5516, 1.00
156, 10, 10, 0.45, 3, 3, 1, -126.12, -119.58, 0.08, 4.30, 1615, 0.75, 6401, 1.00
157, 10, 10, 0.45, 3, 3, 2, -109.82, -104.34, 0.15, 6.61, 11776, 0.76, 13226, 1.00
158, 10, 10, 0.45, 3, 3, 1, -119.99, -112.35, 0.03, 3.78, 2788, 0.85, 3174, 1.00
159, 10, 10, 0.45, 3, 3, 1, -127.62, -114.56, 0.25, 4.53, 14545, 0.82, 15466, 1.00
160, 10, 10, 0.45, 3, 3, 3, -113.81, -107.68, 0.06, 4.51, 2181, 0.71, 4328, 1.00
161, 10, 10, 0.45, 3, 3, 1, -123.90, -111.55, 0.09, 5.88, 6039, 0.71, 4789, 1.00
162, 10, 10, 0.45, 3, 3, 2, -128.85, -125.52, 0.13, 6.79, 9458, 0.62, 11283, 1.00
163, 10, 10, 0.45, 3, 3, 1, -81.01, -73.92, 0.18, 6.61, 5905, 0.74, 17637, 1.00
