N,instance,num_type,value,comment
5,103,simpl_opt_status,0,optimal
5,103,orig_simpl_time,0.004070758819580078,--none--
5,103,orig_simpl_obj,14,--none--
5,103,orig_gsifts1p_time,0.003870725631713867,--none--
5,103,orig_gsifts1p_obj,15,--none--
9,1040,simpl_opt_status,0,optimal
9,1040,orig_simpl_time,0.029341936111450195,--none--
9,1040,orig_simpl_obj,93,--none--
9,1040,orig_gsifts1p_time,0.024698734283447266,--none--
9,1040,orig_gsifts1p_obj,77,--none--
9,1041,simpl_opt_status,0,optimal
9,1041,orig_simpl_time,0.028305768966674805,--none--
9,1041,orig_simpl_obj,165,--none--
9,1041,orig_gsifts1p_time,0.047661542892456055,--none--
9,1041,orig_gsifts1p_obj,166,--none--
9,1042,simpl_opt_status,0,optimal
9,1042,orig_simpl_time,0.010880708694458008,--none--
9,1042,orig_simpl_obj,43,--none--
9,1042,orig_gsifts1p_time,0.012614250183105469,--none--
9,1042,orig_gsifts1p_obj,32,--none--
9,1043,simpl_opt_status,0,optimal
9,1043,orig_simpl_time,0.017618417739868164,--none--
9,1043,orig_simpl_obj,84,--none--
9,1043,orig_gsifts1p_time,0.029271841049194336,--none--
9,1043,orig_gsifts1p_obj,80,--none--
9,1044,simpl_opt_status,0,optimal
9,1044,orig_simpl_time,0.022954225540161133,--none--
9,1044,orig_simpl_obj,127,--none--
9,1044,orig_gsifts1p_time,0.03756141662597656,--none--
9,1044,orig_gsifts1p_obj,127,--none--
9,1045,simpl_opt_status,0,optimal
9,1045,orig_simpl_time,0.02301335334777832,--none--
9,1045,orig_simpl_obj,87,--none--
9,1045,orig_gsifts1p_time,0.02446460723876953,--none--
9,1045,orig_gsifts1p_obj,72,--none--
9,1046,simpl_opt_status,0,optimal
9,1046,orig_simpl_time,0.013945579528808594,--none--
9,1046,orig_simpl_obj,60,--none--
9,1046,orig_gsifts1p_time,0.019570589065551758,--none--
9,1046,orig_gsifts1p_obj,52,--none--
9,1047,simpl_opt_status,0,optimal
9,1047,orig_simpl_time,0.016368627548217773,--none--
9,1047,orig_simpl_obj,125,--none--
9,1047,orig_gsifts1p_time,0.03903079032897949,--none--
9,1047,orig_gsifts1p_obj,122,--none--
9,1048,simpl_opt_status,0,optimal
9,1048,orig_simpl_time,0.02267742156982422,--none--
