run,k,n,method,step,time
test,31,10,CPP,MIP-solve,1.5
test,31,10,CPP,VS-build+solve,7.9
test,31,10,CPP,BDD-align-to-vs,10.2
test,31,10,CPP,intersection-build,0.6
test,31,10,CPP,intersection-SP-solve,0.1
test,31,10,CPP,BDD-align-gsifts,190.2
test,31,10,CPP,intersection-gsifts-build,0.7
test,31,10,CPP,intersection-gsifts-SP-solve,0.1
test,32,10,gen_instance,all, 7.8
test,32,10,plain_MIP,build+solve,1.5
test,32,10,CPP,BDD-build,16.6
test,32,10,CPP,MIP-build,4.3
test,32,10,CPP,MIP-solve,1.2
test,32,10,CPP,VS-build+solve,23.2
test,32,10,CPP,BDD-align-to-vs,14.4
test,32,10,CPP,intersection-build,0.5
test,32,10,CPP,intersection-SP-solve,0.1
test,32,10,CPP,BDD-align-gsifts,175.9
test,32,10,CPP,intersection-gsifts-build,0.4
test,32,10,CPP,intersection-gsifts-SP-solve,0.1
test,33,10,gen_instance,all, 6.5
test,33,10,plain_MIP,build+solve,0.8
test,33,10,CPP,BDD-build,14.1
test,33,10,CPP,MIP-build,4.5
test,33,10,CPP,MIP-solve,0.6
test,33,10,CPP,VS-build+solve,15.6
test,33,10,CPP,BDD-align-to-vs,9.8
test,33,10,CPP,intersection-build,0.5
test,33,10,CPP,intersection-SP-solve,0.1
test,33,10,CPP,BDD-align-gsifts,178.7
test,33,10,CPP,intersection-gsifts-build,0.5
test,33,10,CPP,intersection-gsifts-SP-solve,0.1
test,34,10,gen_instance,all, 8.2
test,34,10,plain_MIP,build+solve,1.3
test,34,10,CPP,BDD-build,24.2
test,34,10,CPP,MIP-build,5.2
test,34,10,CPP,MIP-solve,1.6
test,34,10,CPP,VS-build+solve,15.2
test,34,10,CPP,BDD-align-to-vs,18.4
test,34,10,CPP,intersection-build,0.6
test,34,10,CPP,intersection-SP-solve,0.2
test,34,10,CPP,BDD-align-gsifts,226.1
test,34,10,CPP,intersection-gsifts-build,0.6
test,34,10,CPP,intersection-gsifts-SP-solve,0.1
test,35,10,gen_instance,all, 6.9
test,35,10,plain_MIP,build+solve,1.2
test,35,10,CPP,BDD-build,15.5
test,35,10,CPP,MIP-build,4.6
test,35,10,CPP,MIP-solve,1.7
test,35,10,CPP,VS-build+solve,11.4
test,35,10,CPP,BDD-align-to-vs,17.4
test,35,10,CPP,intersection-build,0.8
test,35,10,CPP,intersection-SP-solve,0.1
test,35,10,CPP,BDD-align-gsifts,250.0
test,35,10,CPP,intersection-gsifts-build,0.8
test,35,10,CPP,intersection-gsifts-SP-solve,0.1
test,36,10,gen_instance,all, 7.0
test,36,10,plain_MIP,build+solve,0.9
test,36,10,CPP,BDD-build,12.4
test,36,10,CPP,MIP-build,3.8
test,36,10,CPP,MIP-solve,1.1
test,36,10,CPP,VS-build+solve,20.5
test,36,10,CPP,BDD-align-to-vs,11.0
test,36,10,CPP,intersection-build,0.3
test,36,10,CPP,intersection-SP-solve,0.1
test,36,10,CPP,BDD-align-gsifts,131.2
test,36,10,CPP,intersection-gsifts-build,0.3
test,36,10,CPP,intersection-gsifts-SP-solve,0.1
test,37,10,gen_instance,all, 6.8
test,37,10,plain_MIP,build+solve,0.8
test,37,10,CPP,BDD-build,13.4
test,37,10,CPP,MIP-build,3.8
test,37,10,CPP,MIP-solve,1.2
test,37,10,CPP,VS-build+solve,11.9
test,37,10,CPP,BDD-align-to-vs,8.7
test,37,10,CPP,intersection-build,0.5
test,37,10,CPP,intersection-SP-solve,0.1
test,37,10,CPP,BDD-align-gsifts,182.3
test,37,10,CPP,intersection-gsifts-build,0.5
test,37,10,CPP,intersection-gsifts-SP-solve,0.1
test,38,10,gen_instance,all, 7.6
test,38,10,plain_MIP,build+solve,0.9
test,38,10,CPP,BDD-build,11.3
test,38,10,CPP,MIP-build,3.8
test,38,10,CPP,MIP-solve,1.1
test,38,10,CPP,VS-build+solve,11.0
test,38,10,CPP,BDD-align-to-vs,7.1
test,38,10,CPP,intersection-build,0.3
test,38,10,CPP,intersection-SP-solve,0.1
test,38,10,CPP,BDD-align-gsifts,132.0
test,38,10,CPP,intersection-gsifts-build,0.3
test,38,10,CPP,intersection-gsifts-SP-solve,0.1
test,39,10,gen_instance,all, 7.7
test,39,10,plain_MIP,build+solve,1.1
test,39,10,CPP,BDD-build,14.2
test,39,10,CPP,MIP-build,4.5
test,39,10,CPP,MIP-solve,1.8
test,39,10,CPP,VS-build+solve,11.1
test,39,10,CPP,BDD-align-to-vs,7.0
test,39,10,CPP,intersection-build,0.3
test,39,10,CPP,intersection-SP-solve,0.1
test,39,10,CPP,BDD-align-gsifts,153.8
test,39,10,CPP,intersection-gsifts-build,0.3
