instance,N,num_type,value,comment
0,17,vs_gen_time,5.173683166503906e-05,--none--
0,17,BBsearch_time,4.674848318099976,--none--
0,17,alig_to_order_time,0.05424952507019043,--none--
0,17,orig_aux_obj,2260,--none--
0,17,orig_sifts_red_time,1.3836772441864014,--none--
0,17,orig_sifts_red_obj,1622,--none--
1,17,trials,1,--none--
1,17,orig_gen_time,0.0955197811126709,--none--
1,17,vs_gen_time,4.1484832763671875e-05,--none--
1,17,BBsearch_time,1.5033302307128906,--none--
1,17,alig_to_order_time,0.201246976852417,--none--
1,17,orig_aux_obj,7482,--none--
1,17,orig_sifts_red_time,4.745368957519531,--none--
1,17,orig_sifts_red_obj,8034,--none--
2,17,trials,1,--none--
2,17,orig_gen_time,0.04332590103149414,--none--
2,17,vs_gen_time,3.814697265625e-05,--none--
2,17,BBsearch_time,1.8450555801391602,--none--
2,17,alig_to_order_time,0.07370185852050781,--none--
2,17,orig_aux_obj,2785,--none--
2,17,orig_sifts_red_time,3.7914414405822754,--none--
2,17,orig_sifts_red_obj,8753,--none--
3,17,trials,1,--none--
3,17,orig_gen_time,0.08119654655456543,--none--
3,17,vs_gen_time,3.7670135498046875e-05,--none--
3,17,BBsearch_time,1.1129660606384277,--none--
3,17,alig_to_order_time,0.11056733131408691,--none--
3,17,orig_aux_obj,3305,--none--
3,17,orig_sifts_red_time,2.9435064792633057,--none--
3,17,orig_sifts_red_obj,5405,--none--
4,17,trials,1,--none--
4,17,orig_gen_time,0.03384113311767578,--none--
4,17,vs_gen_time,3.4332275390625e-05,--none--
4,17,BBsearch_time,1.1362628936767578,--none--
4,17,alig_to_order_time,0.05557990074157715,--none--
4,17,orig_aux_obj,2131,--none--
4,17,orig_sifts_red_time,1.731264352798462,--none--
4,17,orig_sifts_red_obj,3586,--none--
0,20,trials,1,--none--
0,20,orig_gen_time,0.7099661827087402,--none--
0,20,vs_gen_time,5.340576171875e-05,--none--
0,20,BBsearch_time,1.1292693614959717,--none--
0,20,alig_to_order_time,0.6704998016357422,--none--
0,20,orig_aux_obj,20135,--none--
0,20,orig_sifts_red_time,55.88483238220215,--none--
0,20,orig_sifts_red_obj,71167,--none--
1,20,trials,1,--none--
1,20,orig_gen_time,0.6802992820739746,--none--
1,20,vs_gen_time,5.0067901611328125e-05,--none--
1,20,BBsearch_time,4.454758882522583,--none--
1,20,alig_to_order_time,0.5083637237548828,--none--
1,20,orig_aux_obj,22223,--none--
1,20,orig_sifts_red_time,30.132187604904175,--none--
1,20,orig_sifts_red_obj,9393,--none--
2,20,trials,1,--none--
2,20,orig_gen_time,0.6766097545623779,--none--
2,20,vs_gen_time,5.555152893066406e-05,--none--
2,20,BBsearch_time,1.3016138076782227,--none--
2,20,alig_to_order_time,0.43378520011901855,--none--
2,20,orig_aux_obj,18474,--none--
2,20,orig_sifts_red_time,48.8855926990509,--none--
2,20,orig_sifts_red_obj,70681,--none--
3,20,trials,1,--none--
3,20,orig_gen_time,0.43700671195983887,--none--
3,20,vs_gen_time,4.0531158447265625e-05,--none--
3,20,BBsearch_time,1.937711238861084,--none--
3,20,alig_to_order_time,0.42528200149536133,--none--
3,20,orig_aux_obj,15276,--none--
3,20,orig_sifts_red_time,25.74512028694153,--none--
3,20,orig_sifts_red_obj,33573,--none--
4,20,trials,1,--none--
4,20,orig_gen_time,0.6900060176849365,--none--
4,20,vs_gen_time,4.410743713378906e-05,--none--
4,20,BBsearch_time,0.2581188678741455,--none--
4,20,alig_to_order_time,0.718843936920166,--none--
4,20,orig_aux_obj,26836,--none--
4,20,orig_sifts_red_time,30.546406745910645,--none--
4,20,orig_sifts_red_obj,34096,--none--
0,12,trials,1,--none--
0,12,orig_gen_time,0.0047664642333984375,--none--
0,12,vs_gen_time,3.6716461181640625e-05,--none--
0,12,BBsearch_time,0.36810731887817383,--none--
0,12,alig_to_order_time,0.012331247329711914,--none--
0,12,orig_aux_obj,285,--none--
0,12,orig_sifts_red_time,0.10233354568481445,--none--
0,12,orig_sifts_red_obj,372,--none--
1,12,trials,1,--none--
1,12,orig_gen_time,0.020893096923828125,--none--
1,12,vs_gen_time,0.00014138221740722656,--none--
1,12,BBsearch_time,0.21986722946166992,--none--
1,12,alig_to_order_time,0.016022205352783203,--none--
1,12,orig_aux_obj,444,--none--
1,12,orig_sifts_red_time,0.1805577278137207,--none--
1,12,orig_sifts_red_obj,653,--none--
2,12,trials,1,--none--
2,12,orig_gen_time,0.02465200424194336,--none--
2,12,vs_gen_time,3.62396240234375e-05,--none--
2,12,BBsearch_time,0.09350705146789551,--none--
2,12,alig_to_order_time,0.03282022476196289,--none--
2,12,orig_aux_obj,1128,--none--
2,12,orig_sifts_red_time,0.2046205997467041,--none--
2,12,orig_sifts_red_obj,687,--none--
3,12,trials,1,--none--
3,12,orig_gen_time,0.007089376449584961,--none--
3,12,vs_gen_time,3.4809112548828125e-05,--none--
3,12,BBsearch_time,0.1041862964630127,--none--
3,12,alig_to_order_time,0.012191057205200195,--none--
3,12,orig_aux_obj,469,--none--
3,12,orig_sifts_red_time,0.18943238258361816,--none--
3,12,orig_sifts_red_obj,885,--none--
4,12,trials,1,--none--
4,12,orig_gen_time,0.013269662857055664,--none--
4,12,vs_gen_time,3.337860107421875e-05,--none--
4,12,BBsearch_time,0.1273336410522461,--none--
4,12,alig_to_order_time,0.027456283569335938,--none--
4,12,orig_aux_obj,1018,--none--
4,12,orig_sifts_red_time,0.2020101547241211,--none--
4,12,orig_sifts_red_obj,677,--none--
0,18,trials,1,--none--
0,18,orig_gen_time,0.3389401435852051,--none--
0,18,vs_gen_time,5.269050598144531e-05,--none--
0,18,BBsearch_time,0.7418727874755859,--none--
0,18,alig_to_order_time,0.26296281814575195,--none--
0,18,orig_aux_obj,10942,--none--
0,18,orig_sifts_red_time,11.593769073486328,--none--
0,18,orig_sifts_red_obj,26837,--none--
1,18,trials,1,--none--
1,18,orig_gen_time,0.061724185943603516,--none--
1,18,vs_gen_time,3.886222839355469e-05,--none--
1,18,BBsearch_time,0.6377358436584473,--none--
1,18,alig_to_order_time,0.07386350631713867,--none--
1,18,orig_aux_obj,4016,--none--
1,18,orig_sifts_red_time,2.4823474884033203,--none--
1,18,orig_sifts_red_obj,3563,--none--
2,18,trials,1,--none--
2,18,orig_gen_time,0.042732954025268555,--none--
2,18,vs_gen_time,3.62396240234375e-05,--none--
2,18,BBsearch_time,0.7603793144226074,--none--
2,18,alig_to_order_time,0.10512351989746094,--none--
2,18,orig_aux_obj,4731,--none--
2,18,orig_sifts_red_time,3.111670732498169,--none--
2,18,orig_sifts_red_obj,6591,--none--
3,18,trials,1,--none--
3,18,orig_gen_time,0.325023889541626,--none--
3,18,vs_gen_time,4.839897155761719e-05,--none--
3,18,BBsearch_time,1.031266212463379,--none--
3,18,alig_to_order_time,0.26778674125671387,--none--
3,18,orig_aux_obj,9447,--none--
3,18,orig_sifts_red_time,10.322031497955322,--none--
3,18,orig_sifts_red_obj,24013,--none--
4,18,trials,1,--none--
4,18,orig_gen_time,0.1321699619293213,--none--
4,18,vs_gen_time,4.1484832763671875e-05,--none--
4,18,BBsearch_time,0.33093786239624023,--none--
4,18,alig_to_order_time,0.21273565292358398,--none--
4,18,orig_aux_obj,9720,--none--
4,18,orig_sifts_red_time,6.855025768280029,--none--
