k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
613, optimal, 33.3, 12, 26.7, 53.3, 33.3, 0.6
614, optimal, 46.7, 10, 26.7, 86.7, 60.0, 0.5
615, optimal, 53.3, 12, 26.7, 86.7, 66.7, 0.4
616, optimal, 46.7, 4, 13.3, 53.3, 46.7, 0.6
617, optimal, 40.0, 12, 26.7, 100.0, 73.3, 0.5
618, optimal, 73.3, 11, 53.3, 86.7, 66.7, 0.5
619, optimal, 40.0, 2, 6.7, 33.3, 33.3, 0.5
620, optimal, 60.0, 48, 46.7, 86.7, 40.0, 0.4
621, optimal, 40.0, 12, 40.0, 73.3, 40.0, 0.5
622, optimal, 53.3, 4, 13.3, 93.3, 80.0, 0.5
623, optimal, 40.0, 4, 13.3, 40.0, 33.3, 0.4
624, optimal, 33.3, 6, 40.0, 33.3, 20.0, 0.5
625, optimal, 20.0, 12, 46.7, 80.0, 40.0, 0.6
626, optimal, 60.0, 8, 26.7, 73.3, 60.0, 0.5
627, optimal, 60.0, 6, 20.0, 80.0, 66.7, 0.6
628, optimal, 46.7, 12, 26.7, 60.0, 33.3, 0.4
629, optimal, 53.3, 8, 40.0, 73.3, 40.0, 0.7
630, optimal, 86.7, 2, 6.7, 93.3, 93.3, 0.4
631, optimal, 53.3, 2, 6.7, 80.0, 80.0, 0.5
632, optimal, 46.7, 12, 26.7, 53.3, 26.7, 0.4
633, optimal, 40.0, 4, 13.3, 86.7, 80.0, 0.6
634, optimal, 40.0, 2, 6.7, 60.0, 60.0, 0.5
635, optimal, 73.3, 1, 0.0, 86.7, 86.7, 0.6
636, optimal, 33.3, 48, 46.7, 80.0, 33.3, 0.4
637, optimal, 53.3, 4, 40.0, 80.0, 46.7, 0.6
638, optimal, 73.3, 12, 40.0, 100.0, 73.3, 0.5
639, optimal, 60.0, 2, 6.7, 93.3, 93.3, 0.6
640, optimal, 46.7, 12, 46.7, 73.3, 53.3, 0.4
641, optimal, 46.7, 4, 66.7, 80.0, 60.0, 0.6
642, optimal, 20.0, 48, 46.7, 60.0, 13.3, 0.4
643, optimal, 40.0, 48, 46.7, 100.0, 53.3, 0.4
644, optimal, 66.7, 4, 13.3, 60.0, 46.7, 0.5
645, optimal, 53.3, 48, 46.7, 93.3, 46.7, 0.4
646, optimal, 86.7, 4, 13.3, 93.3, 86.7, 0.4
647, optimal, 60.0, 8, 26.7, 66.7, 46.7, 0.6
648, optimal, 60.0, 8, 40.0, 80.0, 60.0, 0.4
649, optimal, 73.3, 4, 20.0, 100.0, 93.3, 0.5
650, optimal, 46.7, 8, 46.7, 93.3, 60.0, 0.5
651, optimal, 46.7, 120, 66.7, 80.0, 13.3, 0.5
652, optimal, 40.0, 720, 100.0, 100.0, 0.0, 5.0
653, optimal, 80.0, 12, 26.7, 100.0, 73.3, 0.5
654, optimal, 26.7, 20, 100.0, 60.0, 26.7, 0.5
655, optimal, 33.3, 28, 60.0, 53.3, 6.7, 0.7
656, optimal, 13.3, 2, 6.7, 20.0, 20.0, 0.5
657, optimal, 20.0, 2, 6.7, 40.0, 40.0, 0.5
658, optimal, 13.3, 4, 13.3, 46.7, 33.3, 0.6
659, optimal, 33.3, 2, 6.7, 46.7, 46.7, 0.5
660, optimal, 73.3, 8, 26.7, 80.0, 60.0, 0.5
661, optimal, 40.0, 2, 6.7, 46.7, 46.7, 0.5
662, optimal, 60.0, 4, 13.3, 80.0, 73.3, 0.4
663, optimal, 40.0, 2, 6.7, 60.0, 60.0, 0.5
664, optimal, 53.3, 6, 20.0, 86.7, 73.3, 0.4
665, optimal, 40.0, 6, 46.7, 100.0, 66.7, 0.7
666, optimal, 33.3, 10, 60.0, 80.0, 60.0, 0.5
667, optimal, 40.0, 12, 40.0, 66.7, 40.0, 0.5
668, optimal, 66.7, 4, 33.3, 93.3, 80.0, 0.5
669, optimal, 20.0, 8, 26.7, 46.7, 26.7, 0.5
670, optimal, 73.3, 12, 26.7, 93.3, 73.3, 0.5
671, optimal, 60.0, 12, 26.7, 73.3, 53.3, 0.5
672, optimal, 26.7, 2, 6.7, 60.0, 60.0, 0.5
673, optimal, 46.7, 1, 0.0, 46.7, 46.7, 0.6
674, optimal, 33.3, 18, 60.0, 100.0, 40.0, 0.7
675, optimal, 26.7, 4, 20.0, 60.0, 53.3, 0.7
676, optimal, 40.0, 12, 26.7, 93.3, 66.7, 0.4
677, optimal, 53.3, 12, 26.7, 86.7, 60.0, 0.4
678, optimal, 80.0, 120, 66.7, 86.7, 26.7, 0.4
679, optimal, 40.0, 9, 33.3, 53.3, 33.3, 0.5
680, optimal, 66.7, 2, 6.7, 86.7, 86.7, 0.5
681, optimal, 80.0, 12, 26.7, 80.0, 60.0, 0.4
682, optimal, 46.7, 8, 20.0, 53.3, 40.0, 0.4
683, optimal, 26.7, 6, 26.7, 60.0, 40.0, 0.5
684, optimal, 13.3, 12, 26.7, 60.0, 33.3, 0.4
685, optimal, 20.0, 30, 73.3, 80.0, 20.0, 0.5
686, optimal, 86.7, 4, 20.0, 93.3, 86.7, 0.6
687, optimal, 40.0, 10, 33.3, 73.3, 53.3, 0.5
688, optimal, 40.0, 2, 6.7, 73.3, 73.3, 0.5
689, optimal, 53.3, 8, 26.7, 40.0, 20.0, 0.6
690, optimal, 33.3, 3, 13.3, 60.0, 53.3, 0.5
691, optimal, 60.0, 1, 0.0, 66.7, 66.7, 0.6
692, optimal, 46.7, 14, 46.7, 73.3, 33.3, 0.5
693, optimal, 46.7, 2, 6.7, 66.7, 66.7, 0.5
694, optimal, 53.3, 4, 13.3, 80.0, 73.3, 0.4
695, optimal, 66.7, 4, 13.3, 93.3, 80.0, 0.6
696, optimal, 13.3, 2, 6.7, 60.0, 60.0, 0.5
697, optimal, 33.3, 2, 6.7, 53.3, 53.3, 0.6
698, optimal, 80.0, 2, 6.7, 93.3, 93.3, 0.5
699, optimal, 60.0, 12, 26.7, 100.0, 73.3, 0.4
700, optimal, 66.7, 4, 13.3, 73.3, 66.7, 0.6
701, optimal, 40.0, 120, 66.7, 86.7, 20.0, 0.5
702, optimal, 53.3, 48, 46.7, 60.0, 20.0, 0.4
703, optimal, 6.7, 4, 13.3, 40.0, 33.3, 0.6
704, optimal, 40.0, 3, 13.3, 60.0, 53.3, 0.5
705, optimal, 66.7, 2, 6.7, 73.3, 73.3, 0.6
706, optimal, 46.7, 2, 6.7, 73.3, 73.3, 0.5
707, optimal, 33.3, 6, 20.0, 86.7, 73.3, 0.5
708, optimal, 53.3, 2, 6.7, 80.0, 80.0, 0.6
709, optimal, 60.0, 6, 26.7, 86.7, 66.7, 0.6
710, optimal, 73.3, 2, 6.7, 80.0, 80.0, 0.5
711, optimal, 33.3, 14, 46.7, 46.7, 13.3, 0.5
712, optimal, 40.0, 48, 46.7, 80.0, 33.3, 0.4
713, optimal, 80.0, 48, 46.7, 100.0, 53.3, 0.4
714, optimal, 20.0, 2, 6.7, 93.3, 93.3, 0.6
715, optimal, 73.3, 24, 46.7, 100.0, 66.7, 0.4
716, optimal, 26.7, 2, 6.7, 80.0, 80.0, 0.6
717, optimal, 53.3, 1, 0.0, 73.3, 73.3, 0.6
718, optimal, 60.0, 10, 40.0, 80.0, 60.0, 0.5
719, optimal, 46.7, 4, 13.3, 53.3, 40.0, 0.5
720, optimal, 60.0, 4, 13.3, 66.7, 60.0, 0.5
721, optimal, 40.0, 8, 20.0, 73.3, 60.0, 0.6
722, optimal, 33.3, 12, 33.3, 53.3, 26.7, 0.6
723, optimal, 60.0, 12, 26.7, 100.0, 73.3, 2.2
724, optimal, 40.0, 4, 20.0, 66.7, 60.0, 0.6
725, optimal, 40.0, 8, 40.0, 86.7, 46.7, 0.6
726, optimal, 40.0, 2, 6.7, 60.0, 60.0, 0.6
727, optimal, 60.0, 3, 13.3, 93.3, 86.7, 0.6
728, optimal, 66.7, 720, 100.0, 100.0, 0.0, 4.5
729, optimal, 66.7, 36, 60.0, 100.0, 60.0, 0.5
730, optimal, 53.3, 6, 26.7, 100.0, 73.3, 0.4
731, optimal, 60.0, 2, 6.7, 86.7, 86.7, 0.6
732, optimal, 26.7, 9, 60.0, 66.7, 53.3, 0.5
733, optimal, 73.3, 16, 53.3, 100.0, 53.3, 0.5
734, optimal, 93.3, 18, 33.3, 93.3, 66.7, 0.4
735, optimal, 40.0, 2, 6.7, 66.7, 66.7, 0.6
